Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0002108	0.00	0.00	7.00	3.00	3.00	0.00	1.00	2.00
FEX_0002109	4113.36	2342.62	1029.50	1241.21	2934.24	2264.50	2761.53	2951.91
FEX_0002110	1500.65	1398.59	595.50	841.74	839.34	1488.35	1488.91	630.58
FEX_0002111	0.00	6.62	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002112	26.00	24.00	62.00	41.85	38.00	32.00	29.00	28.00
FEX_0002113	92.99	96.17	160.00	218.06	257.42	226.14	127.56	468.51
FEX_0002114	423.89	406.71	764.14	341.01	329.81	331.64	303.30	262.50
FEX_0002115	4762.67	2814.52	1216.71	1335.04	1468.10	936.03	1188.52	531.21
FEX_0002116	17.44	12.77	27.15	9.95	1.09	4.33	3.18	6.29
FEX_0002117	411.09	262.00	176.03	239.99	591.52	399.84	479.23	491.17
FEX_0002118	5623.72	5327.92	3137.11	4921.22	5430.62	5401.19	5171.98	3601.59
FEX_0002119	225.02	206.14	460.54	192.41	356.33	224.76	221.72	141.78
FEX_0002120	4406.25	4110.93	2866.30	3347.37	2280.05	2927.05	1805.30	1669.60
FEX_0002121	2.00	3.36	6.60	14.76	3.00	9.17	0.00	2.57
FEX_0002122	82.63	711.25	648.71	243.11	402.79	666.43	224.59	1.00
FEX_0002123	99.09	133.71	463.39	173.41	115.49	89.97	56.77	180.92
FEX_0002124	9.00	1.00	0.00	1.00	10.00	2.00	7.00	1.00
FEX_0002125	294.19	412.59	454.47	569.11	628.29	467.04	502.38	784.45
FEX_0002126	90.81	18.41	46.53	29.89	78.71	70.96	22.62	57.55
FEX_0002127	149.61	153.55	144.88	130.70	76.47	49.86	40.70	67.48
FEX_0002128	720.39	579.45	398.12	507.30	853.53	537.14	747.30	929.52
FEX_0002129	256.00	486.00	1781.00	680.00	660.00	363.00	363.00	292.00
FEX_0002130	128.00	79.00	135.00	86.00	68.00	86.00	74.00	65.00
FEX_0002131	129.00	104.00	321.00	85.00	27.00	27.00	31.00	28.00
FEX_0002132	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00
FEX_0002133	16.00	16.00	56.02	34.06	36.18	43.93	27.00	41.37
FEX_0002134	375.91	723.29	203.61	453.59	847.51	1319.03	819.23	779.08
FEX_0002135	7.00	6.00	1.00	2.00	1.00	1.00	4.00	13.00
FEX_0002137	5.00	6.00	12.00	14.00	6.00	7.00	11.00	7.00
FEX_0002138	4.00	1.00	7.00	1.00	4.00	6.00	2.00	1.00
FEX_0002139	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0002140	5.00	2.54	3.00	0.00	1.24	2.51	1.00	0.97
FEX_0002141	10.00	2.00	7.00	1.00	1.00	2.00	1.00	0.00
FEX_0002142	0.00	3.35	0.00	1.00	0.00	1.00	0.00	1.00
FEX_0002144	34.02	57.01	111.99	94.00	30.00	54.00	34.63	41.00
FEX_0002145	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002146	5.00	4.74	12.20	3.01	2.00	0.78	6.11	3.00
FEX_0002147	31.59	27.69	34.88	23.06	4.00	25.47	3.00	3.69
FEX_0002148	383.00	243.00	543.00	362.00	382.00	264.00	300.00	156.00
FEX_0002149	74.00	78.83	54.42	61.00	18.00	50.90	38.00	28.00
FEX_0002150	72.00	69.00	177.00	75.00	84.00	238.00	85.00	88.00
FEX_0002151	393.67	336.06	176.77	245.00	530.91	346.91	639.58	338.96
FEX_0002152	44.30	13.63	53.09	45.11	11.34	21.44	46.74	27.91
FEX_0002153	0.00	0.00	5.00	1.00	0.00	0.00	0.00	2.00
FEX_0002154	6.00	2.99	2.00	5.00	3.88	8.60	3.00	2.99
FEX_0002155	3.43	15.03	4.01	16.00	4.00	28.00	32.72	14.79
FEX_0002156	3.40	5.65	18.07	7.84	5.47	13.20	14.95	11.31
FEX_0002157	0.00	1.00	3.00	0.00	1.00	0.00	1.00	1.00
FEX_0002158	369.25	140.20	73.39	329.66	164.91	787.64	236.74	196.36
FEX_0002159	14.21	9.31	15.05	13.57	10.00	15.74	6.66	19.22
FEX_0002160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002161	0.00	4.10	2.00	1.00	0.00	6.99	2.66	0.00
FEX_0002162	24.15	6.24	12.93	25.35	20.51	22.60	49.07	14.26
FEX_0002163	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00
FEX_0002164	1.00	0.00	9.99	6.81	4.00	0.00	0.00	0.00
FEX_0002165	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002167	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0002168	0.00	1.00	0.00	0.00	1.00	0.00	2.00	0.00
FEX_0002169	2.51	3.00	0.00	2.00	0.00	1.00	0.00	0.00
FEX_0002170	5.71	2.52	1.46	0.00	0.00	4.27	7.15	5.31
FEX_0002171	13.00	9.00	2.00	11.00	11.00	9.00	5.00	3.00
FEX_0002172	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002173	1.00	1.00	0.00	5.35	0.00	0.00	0.00	2.00
FEX_0002174	1.12	0.00	4.00	3.00	3.00	3.00	5.00	1.00
FEX_0002175	1.00	1.00	7.00	4.00	2.00	3.00	4.00	3.00
FEX_0002176	161.82	22.95	27.40	138.00	274.16	340.63	223.72	145.42
FEX_0002177	6.00	0.00	6.20	0.00	0.00	0.00	0.00	0.00
FEX_0002178	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0002179	0.00	3.53	5.00	2.27	0.00	0.00	29.15	1.00
FEX_0002180	3.07	2.00	0.00	1.00	1.00	3.00	1.00	2.00
FEX_0002181	2628.18	2063.00	1238.98	1999.35	1528.00	1468.00	1196.16	793.37
FEX_0002182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002183	1.08	1.14	3.18	2.13	0.00	1.14	1.06	1.27
FEX_0002184	29.38	6.04	23.05	13.92	7.00	10.34	25.10	15.12
FEX_0002185	21.00	13.00	27.92	23.00	15.00	29.00	13.65	13.00
FEX_0002186	0.00	26.98	17.81	9.08	0.00	2.66	8.34	3.63
FEX_0002187	22.00	46.45	53.63	75.92	30.09	5.34	22.66	3.37
FEX_0002188	1.00	0.00	3.55	5.17	0.00	5.00	6.00	5.50
FEX_0002189	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0002190	0.95	1.00	0.00	1.00	4.00	0.00	1.00	1.51
FEX_0002191	4.87	3.14	1.00	6.00	1.00	0.00	7.00	1.31
FEX_0002193	0.00	3.00	2.45	21.83	0.00	3.00	0.00	1.50
FEX_0002194	5.00	13.56	3.00	14.49	0.00	4.50	2.72	1.91
FEX_0002195	264.72	202.51	137.44	276.28	388.37	535.22	634.03	461.30
FEX_0002196	7.00	1.00	23.00	3.00	10.00	14.00	7.00	3.00
FEX_0002198	168.28	122.49	109.56	129.72	286.63	229.78	452.97	492.70
FEX_0002199	0.00	3.00	1.45	0.00	3.13	0.00	2.00	0.00
FEX_0002200	12.00	4.00	2.00	16.00	2.00	2.00	8.10	15.00
FEX_0002201	3.00	0.00	8.55	6.00	2.87	2.00	0.00	3.00
FEX_0002202	1814.23	2130.52	2243.29	2324.98	2602.62	2541.58	2445.92	1670.86
FEX_0002203	4.00	0.00	14.00	7.00	5.00	5.00	7.00	0.00
FEX_0002204	105.23	95.29	111.96	100.01	304.89	316.00	232.49	220.03
FEX_0002205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002206	0.00	0.00	3.00	0.00	2.00	1.00	1.00	0.00
FEX_0002207	6.00	1.00	6.00	7.00	0.00	1.00	2.00	0.00
FEX_0002208	1.00	2.00	2.00	0.00	1.00	0.00	3.00	1.00
FEX_0002209	7.00	6.00	14.00	17.00	4.15	2.00	17.00	20.00
FEX_0002210	29.77	22.71	37.04	63.38	12.97	44.00	52.97	26.01
FEX_0002211	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002212	695.00	387.00	303.00	523.00	417.00	417.00	404.00	288.00
FEX_0002213	20.00	11.00	79.00	23.00	3.00	20.00	27.00	6.00
FEX_0002214	2.00	3.00	14.00	10.00	0.00	6.00	7.00	1.00
FEX_0002215	1.01	0.00	1.03	3.04	0.00	0.00	1.02	0.00
FEX_0002216	440.95	407.85	326.91	396.98	274.93	493.87	450.39	224.27
FEX_0002217	16.04	30.20	21.07	14.99	8.07	22.13	24.00	43.74
FEX_0002219	31.00	33.00	16.00	40.00	45.00	45.00	39.00	39.00
FEX_0002220	2295.00	1820.52	1500.00	2065.74	1829.00	2258.00	1553.13	1328.00
FEX_0002221	499.00	337.00	799.00	490.00	465.00	485.00	337.00	302.00
FEX_0002222	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
FEX_0002223	0.00	0.00	6.00	2.06	2.00	0.00	2.00	0.00
FEX_0002224	0.00	0.00	3.00	0.94	0.00	1.00	1.00	3.00
FEX_0002225	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
FEX_0002226	269.58	254.00	412.10	286.00	386.00	337.78	276.00	260.00
FEX_0002227	8.00	2.00	11.05	8.00	8.00	27.00	8.00	14.00
FEX_0002228	23.96	6.00	13.98	15.98	7.00	23.00	20.52	10.00
FEX_0002229	74.00	68.53	49.51	87.52	44.00	86.00	104.60	73.57
FEX_0002230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002231	174.00	141.00	99.27	128.00	358.55	314.26	280.61	215.41
FEX_0002233	0.00	2.01	17.61	3.05	0.00	1.01	3.01	3.02
FEX_0002234	12.00	24.00	30.62	18.00	17.00	35.00	37.00	25.00
FEX_0002235	2.00	0.00	8.00	2.00	1.00	7.00	0.00	1.00
FEX_0002236	3.02	2.04	10.74	0.00	5.00	4.39	13.00	2.03
FEX_0002237	2.00	3.00	4.00	3.26	6.00	4.76	3.99	1.00
FEX_0002239	1.00	0.00	0.00	2.00	0.00	0.00	1.00	1.00
FEX_0002241	1.00	0.00	13.00	2.00	0.00	1.00	0.00	1.00
FEX_0002242	28.00	13.00	91.94	830.00	0.00	10.00	2.00	0.00
FEX_0002243	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
FEX_0002244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002245	24.00	2.00	34.00	16.00	1.00	7.00	13.00	11.00
FEX_0002247	15.00	10.00	7.00	4.00	11.00	16.00	16.00	16.00
FEX_0002248	5.00	6.99	14.76	14.17	2.06	7.37	5.44	5.41
FEX_0002249	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0002251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.66
FEX_0002253	5.09	1.70	5.23	1.37	1.70	8.00	0.00	0.00
FEX_0002254	874.96	622.34	167.74	330.48	992.68	1220.70	536.27	700.34
FEX_0002255	0.00	0.00	6.17	2.00	1.00	3.00	0.00	1.00
FEX_0002256	707.76	978.47	2472.90	1965.46	906.06	573.74	1655.97	331.31
FEX_0002257	185.06	347.70	920.42	903.62	136.01	445.24	177.75	162.34
FEX_0002258	129.24	176.66	211.21	280.75	262.15	459.73	252.92	277.75
FEX_0002260	268.14	189.79	470.55	295.07	113.55	117.32	185.01	172.36
FEX_0002261	997.93	675.21	440.94	689.40	818.38	961.08	827.59	960.42
FEX_0002262	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.49
FEX_0002263	6479.07	4602.98	3005.87	3304.34	5293.17	4211.92	6572.66	4121.08
