Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0010148	0.00	2.54	8.47	5.66	0.00	1.00	0.00	1.00
FEX_0010149	1.00	3.00	8.00	3.00	8.00	1.00	1.00	0.00
FEX_0010150	2.49	2.00	6.23	2.10	1.00	1.06	6.00	0.59
FEX_0010151	1.77	12.74	6.12	10.88	0.00	4.44	2.06	0.00
FEX_0010152	6.64	10.94	7.23	5.96	1.23	14.06	3.30	7.04
FEX_0010153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010154	1.00	0.00	0.00	0.00	0.00	5.00	0.00	2.00
FEX_0010156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010157	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00
FEX_0010158	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0010159	4.00	5.38	3.70	3.13	3.00	8.96	2.10	2.00
FEX_0010160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010161	0.00	1.00	1.00	2.00	0.00	2.00	0.00	0.00
FEX_0010162	1622.76	1403.98	1341.21	1310.98	1346.72	1970.87	2022.18	476.31
FEX_0010163	0.00	4.05	0.00	2.00	2.01	0.00	3.00	0.00
FEX_0010164	460.00	413.95	429.00	342.00	311.99	401.00	550.00	45.00
FEX_0010165	164.00	149.01	111.76	115.00	483.13	391.20	267.16	154.64
FEX_0010166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010167	48.00	39.00	24.00	46.00	102.00	62.00	78.00	106.00
FEX_0010168	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
FEX_0010169	3.00	7.00	7.00	11.00	49.00	10.00	8.00	19.00
FEX_0010170	1.00	7.00	7.00	0.00	0.00	6.00	3.00	1.00
FEX_0010171	4.00	0.00	14.00	11.00	0.00	2.00	7.00	5.18
FEX_0010172	31.00	24.00	35.00	54.00	47.00	22.00	22.00	32.00
FEX_0010173	122.70	99.42	90.31	62.15	933.25	339.16	300.03	328.26
