Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0002869	9.00	6.00	6.00	3.00	0.00	3.00	4.00	3.00
FEX_0002870	20.71	2.49	20.40	5.88	12.08	16.65	18.00	15.70
FEX_0002871	3.29	7.51	20.60	10.12	4.92	6.35	0.00	8.30
FEX_0002872	33.00	27.00	84.00	37.00	36.00	44.00	70.00	48.00
FEX_0002873	0.00	1.00	18.00	4.00	19.00	24.00	15.00	14.00
FEX_0002874	9.01	1.02	5.76	5.48	2.00	4.14	1.00	0.00
FEX_0002876	6.00	2.00	19.00	4.00	2.00	2.00	1.00	3.00
FEX_0002877	0.00	0.00	2.00	0.00	0.00	1.00	0.00	1.00
FEX_0002878	3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0002879	10.00	7.00	4.12	3.00	9.72	211.63	1.00	3.00
FEX_0002880	503.00	629.84	662.60	733.68	612.00	827.22	701.72	802.00
FEX_0002881	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0002882	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002883	14.00	5.00	28.00	13.00	5.00	15.00	17.00	10.00
FEX_0002884	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00
FEX_0002885	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0002886	107.95	99.36	49.68	83.49	80.08	80.42	65.25	77.13
FEX_0002887	22.05	24.22	24.32	19.51	64.92	67.58	155.75	76.87
FEX_0002888	1214.06	1185.18	696.08	815.23	1330.57	1147.85	871.63	1308.79
FEX_0002889	2310.93	1701.71	993.84	1344.69	1441.42	1512.14	1221.75	1400.20
FEX_0002890	1.00	2.42	0.00	2.00	0.00	2.00	0.00	0.00
FEX_0002892	4.61	0.00	55.35	22.04	2.58	4.14	40.91	1.37
FEX_0002893	728.41	593.00	450.74	626.02	434.42	391.88	473.71	651.63
FEX_0002894	883.00	414.36	143.48	169.00	1985.80	683.75	655.77	896.00
FEX_0002895	1433.02	1109.08	890.67	1140.58	1222.08	1285.43	1107.02	1297.34
FEX_0002896	6.00	3.00	5.00	18.00	0.00	0.00	3.00	5.00
FEX_0002897	0.00	1.00	7.00	0.00	1.00	5.00	5.00	13.00
FEX_0002898	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0002899	659.69	519.00	361.00	580.40	780.00	749.00	432.00	641.00
FEX_0002900	37.07	33.98	67.47	29.96	80.61	87.04	16.13	97.94
FEX_0002901	4099.55	2167.15	1817.78	2093.89	3017.69	2807.28	2227.71	1840.57
FEX_0002902	21.45	16.85	7.25	21.11	16.30	15.72	9.29	8.28
FEX_0002903	5.00	2.00	0.00	2.00	6.00	1.00	2.00	1.00
FEX_0002904	1708.00	1405.00	1696.00	2593.00	408.00	1526.00	722.00	1154.00
FEX_0002905	3.00	0.00	4.00	12.00	1.02	0.00	0.00	4.00
FEX_0002906	886.48	1150.41	474.47	903.88	507.15	789.31	551.17	757.44
FEX_0002907	369.52	442.59	2361.53	596.12	318.85	1220.69	513.83	1098.56
FEX_0002908	67.30	38.27	942.71	169.77	39.29	95.42	66.33	64.26
FEX_0002909	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002910	15.00	6.00	48.62	69.53	7.36	11.34	12.00	4.20
FEX_0002911	1.00	7.00	3.00	18.00	10.00	0.00	10.00	9.00
FEX_0002912	478.68	253.47	140.44	73.42	288.10	257.52	221.54	329.95
FEX_0002913	872.27	604.51	832.00	757.00	1854.11	1390.35	670.90	1194.46
FEX_0002914	2089.32	1150.53	558.56	899.58	1777.87	1404.48	917.46	1577.05
FEX_0002915	9.81	4.00	24.51	4.35	8.00	2.00	6.00	6.25
FEX_0002916	1.00	2.00	2.00	2.00	1.00	0.00	9.00	0.00
FEX_0002917	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0002918	33.49	54.55	51.74	46.73	8.70	30.07	12.73	21.94
FEX_0002919	0.00	0.00	0.96	1.00	1.02	0.00	0.00	1.00
FEX_0002920	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0002921	6.02	5.63	3.06	0.00	1.00	2.00	2.00	3.94
FEX_0002922	0.00	0.99	3.23	1.00	2.00	0.00	0.00	0.00
FEX_0002923	1.00	5.00	5.00	1.00	2.00	0.00	0.00	8.00
FEX_0002924	18.76	5.12	12.07	31.44	1.00	0.00	1.00	9.32
FEX_0002926	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002927	3.00	3.00	13.00	0.00	6.00	3.00	1.00	3.00
FEX_0002929	20.55	5.13	14.05	7.01	1.01	4.55	6.00	4.05
FEX_0002931	30.00	21.00	43.00	39.00	18.00	9.00	3.00	19.00
FEX_0002932	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0002933	0.00	0.00	6.00	0.00	1.07	1.00	2.00	4.39
FEX_0002935	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0002936	2616.66	1427.22	2877.28	1921.35	3391.45	4114.92	4043.76	4764.04
FEX_0002937	1456.01	1452.69	2045.72	1370.65	2427.55	3214.08	1619.24	3440.96
FEX_0002938	63.20	82.92	158.71	46.74	74.72	136.56	129.63	79.86
FEX_0002939	984.32	712.16	445.16	623.44	799.13	685.85	469.37	545.26
FEX_0002940	751.85	1295.62	613.52	173.82	4763.71	3372.20	914.61	1683.09
FEX_0002941	3.62	0.00	0.00	6.08	1.00	8.19	0.00	0.00
FEX_0002943	69.10	74.59	38.30	58.93	17.01	18.12	57.92	24.08
FEX_0002944	98.15	69.01	47.82	82.37	61.12	90.46	73.69	156.97
FEX_0002945	80.85	59.99	54.18	64.63	44.88	70.54	43.31	100.03
FEX_0002946	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002947	35.83	34.83	32.92	36.50	9.10	12.24	16.69	31.76
FEX_0002948	106.26	180.84	316.27	150.35	151.31	354.14	211.62	373.88
FEX_0002949	341.26	247.39	156.35	299.21	290.25	393.70	179.98	449.63
FEX_0002950	497.81	548.86	472.80	582.07	410.11	609.02	503.75	588.32
FEX_0002951	6.19	107.71	93.10	212.24	27.92	78.00	124.35	114.65
FEX_0002952	82.00	146.00	59.00	30.00	119.00	86.00	43.00	93.00
FEX_0002953	1179.76	1309.79	844.30	753.38	849.00	1000.60	1044.65	1007.26
FEX_0002954	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
FEX_0002955	8.18	8.00	25.12	5.01	8.05	0.00	3.72	15.19
FEX_0002956	571.24	671.21	730.70	583.62	946.00	782.40	714.35	701.76
FEX_0002957	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002958	7747.15	4421.38	2992.48	3855.04	7925.98	7302.80	9412.39	7397.05
FEX_0002959	1.21	0.00	1.00	0.23	0.00	0.00	0.00	1.00
FEX_0002960	0.00	2.00	0.00	11.00	1.00	4.03	0.00	16.00
FEX_0002961	128.85	88.84	44.36	103.38	1.00	3.00	28.00	46.08
FEX_0002962	97.00	48.00	23.06	49.03	323.00	721.99	4575.00	208.00
FEX_0002963	16.80	10.28	9.12	7.16	6.13	6.19	3.02	4.07
FEX_0002964	208.00	280.00	138.00	213.00	278.00	331.00	233.00	208.00
FEX_0002965	31.47	14.75	19.14	31.60	11.80	2.25	6.95	6.99
FEX_0002966	2.47	16.84	14.76	13.74	0.00	8.46	0.00	8.84
FEX_0002967	10.25	3.32	4.58	19.69	10.00	5.74	3.00	14.21
FEX_0002968	5.00	2.00	4.00	5.00	0.00	1.00	3.00	7.00
FEX_0002969	1.00	0.00	2.00	0.00	0.00	0.00	0.00	2.00
FEX_0002970	33.56	25.80	81.00	88.06	35.38	34.94	60.04	68.80
FEX_0002971	28.00	9.16	16.02	32.38	8.89	3.00	5.00	12.00
FEX_0002972	0.00	21.03	55.21	0.00	2.11	11.18	4.83	15.45
FEX_0002973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0002974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002975	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0002976	4.72	4.97	25.70	8.25	0.00	0.00	0.00	16.94
FEX_0002977	7.85	0.00	34.24	29.06	9.99	19.96	20.16	10.04
FEX_0002978	6.78	0.00	0.00	7.00	4.00	9.97	0.00	0.00
FEX_0002979	43.65	35.00	154.85	42.69	58.91	84.90	73.01	51.57
FEX_0002980	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0002981	5258.28	3497.50	2179.22	3298.36	3387.86	3414.24	2567.66	3370.44
FEX_0002982	435.72	258.50	184.78	333.64	276.14	295.76	215.34	248.56
FEX_0002983	449.00	426.56	1652.61	470.12	1222.00	1051.56	434.19	1007.58
FEX_0002984	5078.00	5496.00	10704.00	4612.00	8198.00	8830.00	6082.00	7583.00
