Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0008192	1.57	0.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0008193	1.43	6.49	0.00	4.18	2.03	0.00	1.03	3.28
FEX_0008194	0.00	0.00	0.00	4.00	0.00	3.00	0.00	1.00
FEX_0008195	660.87	1153.94	205.07	836.86	148.50	322.43	186.17	51.52
FEX_0008196	9.34	6.00	5.15	12.17	6.98	18.57	88.53	8.00
FEX_0008197	1928.68	2134.83	1600.38	2065.21	2952.59	1743.67	1921.98	757.14
FEX_0008198	5342.32	4057.17	3482.18	4183.79	3315.41	4342.45	4796.12	808.86
FEX_0008199	0.00	0.00	1.00	0.00	1.00	0.00	2.00	0.00
FEX_0008200	467.65	611.12	599.92	627.69	1037.69	1037.72	1108.08	348.29
FEX_0008201	2.00	5.57	102.87	282.61	454.33	469.00	13.55	3.97
FEX_0008202	8.60	6.05	16.20	11.89	21.10	31.40	13.40	3.80
FEX_0008203	25.08	44.52	37.09	73.59	106.26	126.22	77.69	77.12
FEX_0008204	127.00	345.00	135.00	361.00	564.00	245.00	352.00	593.00
FEX_0008205	828.00	748.00	386.00	617.28	716.83	627.00	405.00	723.00
FEX_0008206	14.93	22.64	28.30	28.57	12.88	31.27	23.49	21.23
FEX_0008207	0.00	1.00	0.00	3.00	0.00	1.00	0.00	0.00
FEX_0008208	3.00	10.00	5.00	9.00	36.00	13.00	10.00	14.00
FEX_0008209	103.00	186.00	79.00	123.01	385.00	239.00	160.00	338.00
FEX_0008211	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00
FEX_0008212	1.00	0.00	0.00	0.00	0.00	2.00	3.00	0.00
FEX_0008213	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008214	148.67	127.44	115.77	112.21	139.22	184.17	337.87	33.15
FEX_0008215	403.33	479.56	330.23	349.79	351.78	548.83	776.13	119.85
FEX_0008216	118.00	112.00	98.00	71.00	74.00	59.00	88.00	63.00
FEX_0008217	9976.98	13449.03	10348.03	12783.59	13718.70	13631.53	15108.52	3117.81
FEX_0008218	59.81	59.80	2689.24	8.23	116.28	339.93	52.51	0.00
FEX_0008219	392.68	548.06	1084.47	589.28	992.43	711.75	554.55	334.99
FEX_0008220	278.82	385.17	280.70	441.36	687.50	430.13	347.06	433.01
FEX_0008221	752.18	402.83	342.30	362.64	576.84	533.87	532.94	499.99
