cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012890	0	0.17	0.12	0.17	0.28	2.48	0	0.06	0.2	0.09	1.84	0	0.02	0	0	0.17	0	0.45	0.18	0.46
FEX_0012891	0.08	0.26	0.58	0.18	0.45	1.89	0.19	0.15	0.13	0.09	1.62	0.14	0.13	0.07	0	0.18	0.01	0.53	0.15	0.73
FEX_0012892	0.04	0.28	0.6	0.18	0.45	1.79	0.17	0.1	0.13	0.08	1.17	0.25	0.15	0.07	0	0.14	0.01	0.53	0.15	0.66
FEX_0012893	0.09	0.43	0.37	0.24	1.38	1.61	0.1	0.19	0	0.13	0.3	0.57	0.02	0	NA	0	0.1	0.69	0.1	1.36
FEX_0012894	0	0	0.47	NA	0	2.6	2.21	0	0.31	0	0.36	0.28	0.09	0.12	0.16	0.08	0	0	0.15	0.34
FEX_0012895	0.41	0	0.13	0.37	0	1.68	0.34	0.64	0.5	0.24	0.27	0.78	0.2	0.05	0.12	0.08	0	0.12	0.13	0.25
FEX_0012896	0.61	NA	0	0.4	0	1.19	0	1.05	1.28	0.3	NA	1.09	0.25	0	0	0	0	0.24	0	0.22
FEX_0012897	0.9	0	NA	0	NA	NA	0.48	0	0	0.6	0	0.62	0	0	NA	NA	NA	0	0	0
FEX_0012898	0.42	0	NA	0	NA	NA	1.19	0	0	0.26	0	NA	0	0	NA	NA	NA	0	0	0
FEX_0012899	0	0.03	0	0.04	0.3	1.65	11.12	1.2	0.61	0.41	0.83	0.95	0.22	0	0	NA	NA	0.19	0.65	5.7
FEX_0012900	14.59	0.06	0	0.04	0.17	1.7	0.06	0.54	0.17	0.2	0.62	14.38	0.02	23.91	28.55	NA	14.65	0	0.38	0.54
FEX_0012901	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	100	NA	NA	100	NA	NA	NA
FEX_0012902	12.95	0.15	0.9	NA	0.14	14.09	0.42	0.29	0.11	0.25	0.8	7.98	0.17	28.64	49.96	NA	10.64	0.13	0.08	0.79
FEX_0012903	0.37	0.08	0.9	NA	0.29	35.19	0.31	0.6	0.2	0	0.18	0.74	0.02	0.03	0	NA	0	NA	0.15	0.14
FEX_0012904	0.4	0	0	NA	0.29	35.19	0.28	0.9	0.14	0	0.18	0.74	0.02	0.03	NA	NA	0	NA	0.15	0.1
FEX_0012905	0.26	NA	NA	NA	0	1.09	0.61	0.13	0.08	0.4	3.7	0.16	0.5	0.26	0	NA	0	0.13	0.1	1.46
FEX_0012906	NA	50	NA	NA	NA	NA	0	0	NA	100	0	NA	0	NA	NA	NA	NA	0	NA	NA
FEX_0012907	50	50	0	99.07	NA	NA	0	NA	NA	100	0	NA	NA	NA	NA	0	NA	0	100	0
FEX_0012908	0.74	0.17	0.25	1.67	0.23	1.44	0.11	0.32	0.33	0.54	0.34	0.39	0.22	0.04	0.05	0.3	0.06	0.8	0.08	0.95
