cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0000004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000005	0	0.39	0.6	0	0	2.92	0	0	0	0	0	NA	0.29	0	0	0.35	NA	0	NA	NA
FEX_0000008	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000010	NA	NA	NA	0	NA	0	NA	2.38	NA	NA	NA	0.72	0	NA	NA	NA	NA	NA	NA	0
FEX_0000016	0.08	0.14	0.38	0	0.86	1.62	0	0.2	0.46	0	0	0.18	0.26	0	0	0	0	0.16	0.24	0.3
FEX_0000017	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA
FEX_0000019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000029	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	0	NA	0	NA	NA	NA
FEX_0000032	NA	NA	NA	NA	NA	NA	0	NA	0.27	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA
FEX_0000033	NA	0	NA	NA	NA	NA	NA	0.15	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	0.65
FEX_0000034	NA	NA	NA	NA	NA	0	0	2.78	0	0	0	1.17	0	0	NA	0	NA	0	NA	0.14
FEX_0000036	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000040	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000042	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	3.23	NA	NA	NA	NA	NA	NA	NA
FEX_0000045	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000047	0.33	0	0.34	0.7	0	2.43	0.09	0.22	0.07	0	0.32	0	0.26	0.11	0	0.3	0	0.16	0	0
FEX_0000048	NA	NA	NA	0	NA	NA	NA	0.19	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0
FEX_0000050	0.11	0	0.05	5.71	NA	3.91	0	0.39	1.34	0	0	0.74	0.31	0.33	0	0	0	0	0	0.31
FEX_0000051	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000054	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000058	NA	NA	NA	NA	NA	4.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000061	NA	0.18	0.21	0	NA	1.02	NA	0.48	1.67	NA	NA	0.3	0.1	0	NA	NA	NA	NA	0.32	0.33
FEX_0000062	0	0.2	0.73	NA	NA	3.06	0	0	0.29	0	0.19	0.79	NA	0	NA	0.41	0	1.47	0	0
FEX_0000064	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	50	0.92	50	NA	NA	NA
FEX_0000066	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06	NA	NA	NA
FEX_0000067	0	0	NA	NA	NA	NA	0	1.27	NA	0	NA	0	NA	0	NA	NA	NA	0	NA	0
FEX_0000068	NA	NA	NA	NA	NA	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
FEX_0000070	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000071	0.08	0.24	0.14	2.58	NA	2.69	0.26	0.22	0.13	0.16	0.26	0	0	3.2	NA	0.13	0.06	0.16	NA	0.13
FEX_0000073	NA	NA	NA	0	NA	NA	0	0	NA	NA	NA	NA	0.09	NA	0	NA	0	NA	NA	0
FEX_0000075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA
FEX_0000078	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA
FEX_0000081	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000082	NA	0.9	NA	NA	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000087	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0.07	0	0	0	NA	0	NA	0.1
FEX_0000090	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000091	NA	0	NA	NA	0	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000092	NA	NA	NA	NA	0.25	NA	NA	NA	1.44	NA	NA	NA	NA	NA	NA	0	0	1.47	NA	NA
FEX_0000095	NA	NA	1.4	NA	NA	NA	0	0	0	0	0	0	0	0.22	0	NA	1.97	NA	0	NA
FEX_0000096	0	NA	NA	NA	0.14	NA	NA	NA	0.38	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000097	0	NA	NA	0.3	NA	NA	0	0	0	0.62	0	0	1.54	NA	NA	NA	NA	NA	NA	1.25
FEX_0000098	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000099	0.3	NA	7.82	0.22	NA	NA	NA	0.4	0.27	NA	0.28	2.94	0	0.18	0.09	NA	0.1	NA	NA	2.21
FEX_0000100	NA	NA	NA	NA	0	NA	NA	1.11	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000101	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0
FEX_0000102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0000103	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000104	97.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	50	NA	NA	NA	NA	NA	NA
FEX_0000105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0000107	0.16	NA	NA	0.48	NA	NA	NA	0.38	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.34
FEX_0000108	0	0.13	0	0.16	0	NA	0.19	2.34	0.16	0.44	0.16	0.61	0	4.22	0.16	0.12	0.08	0.25	0.27	0
FEX_0000113	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	NA	NA
FEX_0000114	0.55	0.37	0.17	1.27	0.18	2.72	0.08	0.2	0.24	0	0.38	0	0.06	0.08	0.05	0.16	0	0.7	0	0.09
FEX_0000115	0	0	NA	0.93	NA	15.38	0	NA	NA	0.4	NA	0.48	NA	0	0	0	NA	0	0	0
FEX_0000116	NA	NA	0.62	NA	NA	5.98	1.13	0	0.29	NA	NA	0.92	NA	0	NA	NA	NA	0.24	0	0
FEX_0000119	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000120	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	3.85	NA	NA	NA	NA	NA	0
FEX_0000121	100	0	0	NA	NA	7.09	NA	0	0	NA	NA	0	0	0	NA	NA	NA	NA	NA	0
FEX_0000122	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
FEX_0000123	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
FEX_0000127	0	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49.84	NA
FEX_0000132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000133	NA	NA	NA	NA	NA	NA	0	0.58	NA	0	NA	NA	0	NA	0	NA	NA	NA	0.3	0
FEX_0000134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000136	0	NA	NA	0.68	NA	NA	NA	0	0.46	NA	NA	0	NA	0	NA	0	NA	1.31	NA	0.65
FEX_0000137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	100	NA	NA
FEX_0000140	0	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000141	NA	0.17	0	NA	NA	1.34	NA	NA	0	NA	NA	0	0.15	0	NA	NA	0.04	0	0	0
FEX_0000142	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	0.2	NA	0	0.2	NA
FEX_0000144	0.08	NA	NA	NA	NA	1.55	0	0.3	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.26
FEX_0000145	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000149	NA	NA	0	NA	NA	1.45	50	NA	NA	NA	NA	0	NA	33.33	NA	NA	NA	NA	NA	0
FEX_0000150	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000151	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000155	NA	NA	0	NA	NA	NA	2.34	0.39	NA	NA	0	NA	NA	NA	0.07	NA	0	0	NA	NA
FEX_0000158	0.68	0	0.08	NA	NA	2.55	0	0	NA	NA	NA	0.4	NA	0.1	NA	NA	NA	0.24	NA	0
FEX_0000160	NA	NA	NA	NA	NA	NA	NA	66.67	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000161	0.09	NA	NA	NA	NA	NA	0.14	NA	NA	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35
FEX_0000162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA
FEX_0000163	NA	NA	NA	NA	NA	NA	0.27	0.14	NA	NA	NA	NA	NA	0	NA	0.09	0	NA	NA	NA
FEX_0000167	44.47	0.47	0	10	NA	51.3	21.76	2.7	NA	0.12	14.56	18.01	0.33	1.33	0	38.61	NA	5.19	NA	34.22
FEX_0000168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000169	15.94	NA	NA	NA	NA	NA	NA	0.58	30.68	NA	0	NA	NA	NA	0.14	0	1.28	NA	NA	0.95
FEX_0000170	0.33	NA	0.21	NA	NA	0	0.38	0.37	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA
FEX_0000173	0.24	NA	NA	0	NA	1.2	NA	0.11	NA	0.31	0.27	NA	0.33	0.2	NA	NA	0.03	NA	NA	0.41
FEX_0000176	0	0.54	0	0	NA	2.59	2.21	1.41	NA	NA	0	0	0	0	NA	0.02	0	0	0	NA
FEX_0000178	NA	NA	NA	NA	NA	0.54	0	0.16	NA	NA	NA	0.26	NA	NA	NA	NA	NA	0.27	NA	NA
FEX_0000179	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000180	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000181	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000186	NA	0	NA	0.43	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0
FEX_0000187	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	10	NA	NA
FEX_0000188	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0
FEX_0000189	NA	NA	0	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12	NA	NA	NA
FEX_0000191	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	4.76	NA	0	NA	NA	NA	NA	NA
FEX_0000193	NA	NA	0	NA	NA	NA	NA	0.18	NA	0	NA	NA	NA	NA	0.2	0.09	NA	NA	NA	0
FEX_0000195	100	NA	NA	NA	NA	100	66.67	0	NA	NA	NA	100	100	0	NA	NA	NA	NA	NA	NA
FEX_0000196	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000197	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	50	0	NA	NA	NA	NA	0	0
FEX_0000198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0000200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0000201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0000202	0	NA	NA	NA	NA	4.63	0.92	0	NA	NA	NA	0	0	0	NA	NA	0	NA	0	1.89
FEX_0000203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	NA
FEX_0000205	0	0.55	NA	0.7	NA	2.02	0	1.04	0.34	0.42	0	0	0.68	NA	0	NA	0	0.28	0.07	0.13
FEX_0000206	0	0	0	0	NA	0	0	0.67	NA	NA	NA	NA	1.69	NA	0	0.09	0.18	0	NA	NA
FEX_0000208	NA	0.36	0	0	NA	NA	0.41	NA	NA	0	NA	4.1	0	NA	NA	NA	NA	NA	NA	0
FEX_0000209	NA	0.36	0	0	NA	NA	0.41	NA	NA	0	NA	4.1	0	NA	NA	NA	NA	NA	NA	0
FEX_0000210	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0
FEX_0000212	25	6.82	50.33	NA	NA	NA	91.05	31.49	72.95	NA	0	0.31	17.98	50	100	11.54	11.9	0	NA	0.87
FEX_0000213	0	0.15	0	NA	NA	1.72	NA	0.47	0.64	NA	NA	0.14	0.21	0	NA	0.11	0.06	0.32	NA	NA
FEX_0000214	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0
FEX_0000215	0	NA	0.26	0	0	NA	0	NA	0	1.08	NA	0.16	0.76	0	NA	NA	0	0	0.38	0.2
FEX_0000216	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA
FEX_0000217	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA
FEX_0000218	0	NA	0.41	NA	0.9	NA	0.58	1.02	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	1.28
FEX_0000219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000220	0	NA	0	0	NA	3.54	0	2.13	NA	NA	NA	0.28	0.37	NA	NA	0	0.09	0	NA	0
FEX_0000221	0.18	0.09	NA	1.08	0.27	1.7	2.21	0.07	0	NA	NA	1.25	0.84	0	NA	NA	NA	0.49	NA	0
FEX_0000222	NA	0.2	0	NA	NA	3.23	0	0	0.26	NA	NA	NA	0	0	NA	NA	0	0	0.87	0
FEX_0000223	0	2.08	0.08	0.38	0.23	1.62	9	0	NA	49.44	0	0.22	0.3	0	NA	0	NA	33.34	28.33	0
FEX_0000224	0	0	0	0.74	NA	2.7	0	0	NA	0	0	0.36	0.88	0	NA	0.55	NA	0	1.02	0.51
FEX_0000225	NA	NA	50	24.75	49.53	NA	0	50	33.51	0	NA	32.62	0	75	NA	55.55	NA	52.78	NA	64.44
FEX_0000226	NA	NA	50	24.75	49.53	NA	0	25.43	33.51	0.08	NA	19.72	0	60	NA	50.03	NA	35.19	NA	42.96
FEX_0000227	0.04	0.24	0.29	0.17	0.14	2.21	0.25	0	0.25	0.5	0.28	0	0.39	0.1	0	0.13	0.05	0.35	0.21	0.22
FEX_0000228	0	0	0	0.56	NA	4.08	0.02	0.16	0	0	0.36	0.44	0.01	0	NA	NA	0.06	0.33	NA	0
FEX_0000229	0.14	0.13	NA	0.18	NA	1.44	0	0	0.31	0	0.28	0	0.22	0	0	0.1	0.22	0.34	0.37	0
FEX_0000230	0	NA	NA	0	NA	0	0	1.03	0.13	0.18	0.22	0.48	0	0.02	0.14	0.56	0	0	0.16	0.41
FEX_0000231	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000232	NA	100	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	25
FEX_0000233	0.15	2.42	1.12	0.79	0.23	1.44	0.27	0.53	0.24	0.12	0.4	0.86	0.14	0.79	0.06	0.84	0.05	1.12	2.14	0.59
FEX_0000234	0.69	0.38	3.85	0	0.17	2.02	0.22	0.17	0.03	NA	0.43	0.16	0.02	0.3	0	NA	0.13	0.46	0.29	0.85
FEX_0000235	NA	NA	NA	NA	NA	1.26	NA	0.78	0	NA	NA	NA	0.06	NA	NA	NA	NA	NA	NA	0.47
FEX_0000236	0.07	0	0.56	0	0.19	1.84	0	0.37	0.29	NA	0	0	0.12	0	0	0	0	0.18	NA	0.13
FEX_0000237	0	NA	NA	0.35	NA	NA	0.19	0.34	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000238	0.14	0.19	0.23	0.15	0.44	1.64	1.33	0.48	0.42	0.09	2.05	0.21	0.43	0.4	0.09	0.05	0.18	0.17	0.15	0.15
FEX_0000239	0.83	NA	0.68	0	NA	NA	0	0	0.25	NA	0	0	0.3	0.53	0	0	0	NA	NA	0.18
FEX_0000240	NA	NA	NA	NA	NA	0.52	0	0.11	NA	NA	NA	NA	0	NA	NA	0.18	NA	NA	NA	NA
FEX_0000241	0	NA	0.26	NA	NA	4.35	0	0	0	1.52	0.51	0.93	0	0	NA	0	NA	0	0	0
FEX_0000242	0	NA	0.26	NA	NA	4.35	0	0	0	1.52	0.51	0.93	0	0	NA	0	NA	0	0	0
FEX_0000244	0.47	0.13	0	0	0.1	2.92	0.24	0.09	0.16	0.3	0.54	0	0.08	0	0	0.11	0	0.12	0.03	0.17
FEX_0000246	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000252	NA	NA	NA	NA	NA	NA	NA	0	1.4	0	NA	NA	0.17	NA	NA	NA	0	NA	NA	0
FEX_0000253	NA	NA	NA	NA	NA	NA	NA	0	1.4	0	NA	NA	0.17	NA	NA	NA	0	NA	NA	0
FEX_0000261	NA	0.47	NA	NA	NA	NA	NA	NA	0.19	NA	NA	0	0.54	0	NA	NA	0	0.46	0	NA
FEX_0000262	1.49	0.32	0.29	0.05	0.16	13.62	0.47	0.12	0.48	0.29	8.48	0.07	3.48	0.04	7	0.08	6.58	13.51	0.25	0.15
FEX_0000263	0.28	NA	0	NA	NA	1.35	NA	2.38	0	NA	0.28	0	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000264	0.68	0	0.08	0.49	0	2.71	1.43	10.33	0.59	0	0.31	0.13	0.19	0	NA	0.32	0	0	0	0.08
FEX_0000265	0.68	0	0.08	0.49	0	2.71	1.43	10.33	0.59	0	0.31	0.13	0.19	0	NA	0.32	0	0	0	0.08
FEX_0000266	50	0.16	NA	NA	NA	3.12	2.86	NA	50	NA	96.16	47.94	3.52	NA	NA	0	NA	40.52	NA	0
FEX_0000267	NA	0	0.3	0	0.24	1.21	0.24	0.14	0.22	NA	0.14	0.11	0.1	0	0.07	0.13	0.66	0.31	NA	0.06
FEX_0000268	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25
FEX_0000269	24.47	0.3	0.51	0.26	0	2.46	14.72	25.05	24.78	0	16.04	20	2.65	26.98	0.07	0.26	66.67	0	0	0.04
FEX_0000270	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	100	NA	NA	NA	NA	NA	NA	0	NA
FEX_0000271	0	0	0	0	NA	NA	0.11	0	0.6	NA	2.13	0	0.14	0	NA	0	0	0	0	0
FEX_0000272	0	0.35	0	NA	NA	1.44	0	0	0.33	NA	1	0	0.16	0	0	0	0.24	0.25	0	2.13
FEX_0000273	50	0.53	1.24	0	0	2.26	0.26	9.86	0.23	0	0.41	0.13	0	1.11	0	0	0.03	0.2	0	0.12
FEX_0000274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000276	NA	0	NA	2.46	NA	NA	0	NA	NA	0	NA	0.67	NA	NA	NA	NA	NA	0	NA	0
FEX_0000278	33.41	0	NA	25.44	NA	1.73	74.5	33.64	50.17	33.48	NA	NA	66.83	0	NA	0.75	NA	0.17	25.31	33.33
FEX_0000279	0.15	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	0.75	NA	0.23	NA	0
FEX_0000280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000281	0	NA	NA	NA	NA	NA	0	0	20	NA	NA	0	6.39	0.07	NA	NA	0.07	0	NA	NA
FEX_0000282	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	0	0.35	NA	NA	NA	NA	NA	NA	1.89
FEX_0000283	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000288	NA	NA	NA	0.22	NA	NA	0	0	0.2	NA	NA	NA	0.41	NA	NA	NA	NA	0	NA	0
FEX_0000289	NA	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	NA	NA	NA	0.04	NA	0	NA	NA	NA
FEX_0000291	NA	NA	0.26	0	NA	NA	0	0	0.42	NA	0	0	NA	0	0	NA	NA	0	0.16	0
FEX_0000292	NA	NA	0.26	0	NA	NA	0	0	0.42	NA	0	0	NA	0	0	NA	NA	0	0.16	0
FEX_0000293	0	0.14	0.08	0.16	0.11	2.58	0.3	0.95	0.44	NA	NA	0.23	0.36	0	0.05	NA	0.12	0.03	NA	0
FEX_0000294	0	0.14	0.08	0.16	0.11	2.58	0.3	0.95	0.44	NA	NA	0.23	0.36	0	0.05	NA	0.12	0.03	NA	0
FEX_0000295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000296	0	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	0.13	0	NA	0.12	NA	NA	NA	50
FEX_0000297	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	0	NA	0
FEX_0000298	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	0	NA	0
FEX_0000299	0	0	0	1.94	NA	NA	0	0.25	0	2.17	NA	NA	0	0	NA	0	NA	0	0.23	0
FEX_0000300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0000301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0000302	0.09	NA	0.99	NA	NA	NA	0	0	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA
FEX_0000303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0000305	0.2	0.29	0.05	0.6	0.14	18.43	0.1	0.09	0.1	0.33	0.22	0.23	12.59	0.02	0	0.47	0.06	0.49	0.24	0.05
FEX_0000306	0.2	0.29	0.05	0.6	0.14	18.43	0.1	0.09	0.1	0.33	0.22	0.23	12.59	0.02	0	0.47	0.06	0.49	0.24	0.05
FEX_0000307	NA	NA	NA	0	NA	NA	0	0	NA	0	NA	NA	0.51	8.73	0	NA	NA	0	0	0
FEX_0000309	0	0.36	0	0	0.05	4.17	0.09	0.44	0	0.02	0.31	0.4	0	NA	NA	0.31	NA	0.87	NA	0.81
FEX_0000310	0	0.21	0.27	2.29	0.17	2.17	0	0.37	0.22	NA	NA	1.43	0	0	0.2	0	NA	0	0.09	0.18
FEX_0000312	0.29	0.3	0.59	1.27	0.08	1.77	0.12	0.42	0.26	0.18	0.25	0.23	0.34	0	0	0.15	0.06	0.27	0.16	0.36
FEX_0000313	0.26	0.21	0.43	1	0.08	1.75	0.24	0.37	0.32	0.24	0.22	0.18	0.41	0	0.01	0.12	0.05	0.18	0.19	0.34
FEX_0000314	0	NA	0	0	0.42	2.62	0.63	0.14	0	0	NA	0.36	0	0	0.07	0	0	0.15	1.54	0.34
FEX_0000316	0.19	NA	NA	NA	NA	0	0.42	0.33	NA	NA	NA	NA	0.09	0.22	0	0.1	0	0	0	NA
FEX_0000317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA
FEX_0000318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA
FEX_0000319	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000320	0.45	0.13	NA	NA	NA	NA	NA	0	NA	NA	0	0.96	0.05	0	NA	NA	NA	NA	NA	NA
FEX_0000322	0.19	NA	NA	0.34	NA	3.55	0	0.56	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	0.47
FEX_0000323	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	0	0.1	0.1	0.02	NA	0.33	NA	0	50
