cluster	color	Q1_F_aquilonia	Q2_F_aquilonia	Q3_F_aquilonia	W1_F_aquilonia	W2_F_aquilonia	W3_F_aquilonia	Q1_M_chinense	Q2_M_chinense	Q3_M_chinense	W1_M_chinense	W2_M_chinense	W3_M_chinense	Q1_F_cinerea	Q2_F_cinerea	Q3_F_cinerea	W1_F_cinerea	W2_F_cinerea	W3_F_cinerea	Q1_F_exsecta	Q2_F_exsecta	W1_F_exsecta	W2_F_exsecta	Q1_F_fusca	Q2_F_fusca	Q3_F_fusca	W1_F_fusca	W2_F_fusca	W3_F_fusca	Q1_L_humile	Q2_L_humile	Q3_L_humile	W1_L_humile	W2_L_humile	W3_L_humile	Q1_Sinv_mono	Q2_Sinv_mono	Q3_Sinv_mono	W1_Sinv_mono	W2_Sinv_mono	W3_Sinv_mono	Q1_L_neglectus	Q2_L_neglectus	Q3_L_neglectus	W1_L_neglectus	W2_L_neglectus	W3_L_neglectus	Q1_M_pharaonis	Q2_M_pharaonis	Q3_M_pharaonis	W1_M_pharaonis	W2_M_pharaonis	W3_M_pharaonis	Q1_Sinv_poly	Q2_Sinv_poly	Q3_Sinv_poly	W1_Sinv_poly	W2_Sinv_poly	W3_Sinv_poly	Q1_F_pratensis	Q2_F_pratensis	Q3_F_pratensis	W1_F_pratensis	W2_F_pratensis	W3_F_pratensis	Q1_F_pressilabris	Q2_F_pressilabris	Q3_F_pressilabris	W1_F_pressilabris	W2_F_pressilabris	W3_F_pressilabris	Q1_M_Rubra	Q2_M_Rubra	Q3_M_Rubra	W1_M_Rubra	W2_M_Rubra	W3_M_Rubra	Q1_M_ruginodis	Q2_M_ruginodis	Q3_M_ruginodis	W1_M_ruginodis	W2_M_ruginodis	W3_M_ruginodis	Q1_M_sulcinodis	Q2_M_sulcinodis	Q3_M_sulcinodis	W1_M_sulcinodis	W2_M_sulcinodis	W3_M_sulcinodis	Q1_F_truncorum	Q2_F_truncorum	Q3_F_truncorum	W1_F_truncorum	W2_F_truncorum	W3_F_truncorum	W1_L_turcicus	W2_L_turcicus	W3_L_turcicus	W4_L_turcicus	W5_L_turcicus	W6_L_turcicus
FEX_0011548	Greenyellow	15.1077176	5.646685798	1.585665476	15.15909614	26.76199777	12.08900301	0.42665755	0.905578652	0.171284463	2.710145651	4.055373423	9.4041262	1.834728905	0.743854942	1.486738199	2.376634162	6.264880849	2.3078308	2.254546871	1.394177994	11.17814718	5.975578561	NA	NA	NA	NA	NA	NA	4.85822317	5.108423226	1.942289806	32.50979694	20.40095484	26.40223479	NA	NA	NA	NA	NA	NA	NA	2.115889996	2.080820271	1.743901975	5.731739877	3.2319747	NA	0.978441645	2.235853233	2.348423632	4.917882551	4.657813413	NA	28.44954985	14.18593485	6.847748751	12.29467808	12.68045347	0.370405129	0.693312259	3.352032029	10.24936435	5.608253902	8.209500395	3.075729617	1.826873998	1.701875954	4.917801964	5.482102747	15.49834845	0.329119198	0.254727481	0.476472765	1.092610373	0.766719968	1.651871072	1.258176709	0.468627107	NA	0.475769915	1.434658492	NA	1.720202942	4.831432069	3.432381388	5.458877353	3.823476422	3.021670999	1.220517686	1.495457873	1.455033818	7.806822401	13.47374501	11.12058841	1.352166351	7.993984939	2.236047688	4.90686293	1.185025902	6.029926688
FEX_0002701	Skyblue	NA	NA	NA	NA	NA	NA	183.8936705	179.983757	121.0981154	606.9032417	439.4116379	470.7192624	126.5351368	111.2063139	110.5579072	114.3557138	108.0691946	95.39033975	86.26439837	123.2519183	64.39838123	74.85946417	136.3172512	121.0920293	112.2887928	202.0811024	174.246429	126.0992578	57.00629044	79.24285785	64.69319124	108.789536	124.5444142	128.2752736	396.3854113	310.64508	92.36131229	50.50124031	2.998752941	63.39969516	NA	NA	NA	NA	NA	NA	51.83375783	43.54065322	53.66047758	111.7849649	99.25181149	125.7609622	2.223229528	338.9189402	210.5823217	414.8121631	266.7945144	277.2943451	NA	NA	NA	NA	NA	NA	149.5843979	122.666368	120.5572457	92.29119324	111.5631237	109.3918795	258.8588319	266.9543997	301.6072603	207.5959708	176.8516279	269.0897976	203.5755079	166.83125	168.7991855	102.2905318	103.6289695	125.4543192	296.0262838	358.899117	444.4933897	216.5354683	206.8500744	171.4798292	NA	NA	NA	NA	NA	NA	40.22694893	19.29582571	43.47870504	21.53735375	26.46557847	51.13377832
FEX_0004575	Black	16.40266482	3.850013044	7.928327378	13.24242881	12.78987042	9.108152951	0.995534283	NA	0.256926695	5.081523095	7.395092712	1.538857015	NA	NA	NA	NA	NA	NA	6.179874014	1.936358325	5.176457421	4.44130839	NA	NA	NA	NA	NA	NA	4.100407177	4.360849095	1.344662174	5.721818968	4.944936788	4.11978981	NA	0.248876437	NA	0.376874928	2.998752941	NA	0.552449788	1.175494442	7.074788921	0.871950987	1.76361227	2.983361262	5.845912537	3.864844499	6.707559698	93.93694528	63.48539293	93.15626827	NA	NA	NA	NA	NA	NA	1.852025645	1.271072476	1.026132254	4.132808204	10.86599194	6.424826396	0.636357852	0.639405899	1.580313386	9.713323447	4.66561936	8.316186975	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.475769915	NA	0.781646849	NA	NA	NA	NA	NA	NA	1.220517686	2.27524711	1.091275363	11.6194566	9.040143965	6.902434187	NA	NA	NA	NA	NA	NA
FEX_0008541	Blue	953.4933807	356.5112079	363.5704412	1029.027325	540.7277772	785.4804864	NA	NA	NA	NA	NA	NA	51.37240935	50.45816025	59.06405391	89.85940595	133.6982527	90.31311199	56.14224308	39.29800494	143.0157658	106.3451106	249.6375798	239.7733124	193.4231874	807.374752	697.8040699	466.2203432	61.20237379	55.59085831	46.76436226	450.7629253	346.4484525	475.2701883	848.4554907	444.8840526	177.0430893	2002.355335	24.01001521	1724.540358	1081.743643	910.5450478	1004.686613	1363.556954	1661.36244	1811.186191	152.7770782	161.4869014	134.8979689	265.8180709	285.2640128	264.5638019	NA	769.5056127	788.7379775	1818.566418	1480.664474	1531.477239	340.9060646	250.5191408	375.7963108	625.0045847	1122.530575	701.0128081	75.51446509	72.07017921	61.26753434	87.5754199	80.01537202	147.4233146	585.4898891	545.269645	402.8267521	770.3485854	826.6506348	791.4461197	401.4313445	500.4890638	381.3538341	932.59943	991.7076827	982.1236322	256.6542789	244.3687483	276.9502732	963.9467592	1143.21945	847.7071363	235.7124781	264.3154568	260.3298006	978.7540332	430.7261753	509.2558423	1570.801508	1752.612284	2394.004581	3266.487329	2915.147918	1553.798745
FEX_0000091	Green	NA	NA	NA	0.871212422	NA	NA	528.0683605	444.0278524	185.4025849	272.2002538	292.4639892	269.7599248	NA	NA	NA	NA	NA	NA	12.58117674	41.55347512	15.43009431	44.97834133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	230.9539557	NA	196.1196748	143.8805197	217.2376363	77.02233723	104.0531239	75.08125842	319.9623822	293.0383806	286.7526488	320.1793811	392.9745823	328.3758456	3061.264782	650.5044283	585.50397	121.3029779	119.2583774	100.9907544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606.0697126	587.2105247	416.1560777	265.23481	278.1085006	269.5490177	563.4215958	537.2481741	504.7566574	235.9676048	205.8806669	211.9982583	375.6475972	431.7749126	452.001724	257.022142	236.3603606	250.2547922	NA	NA	NA	NA	NA	NA	81.79930338	48.22578155	158.135777	189.8578503	179.7644792	106.1242977
FEX_0013541	Brown	18.12926112	33.88011479	35.56421138	13.76515626	6.233718357	5.749728554	50.07679661	41.95885486	102.6259424	21.74044964	18.60700747	13.67872902	89.03205487	66.82296898	82.71670708	29.08547522	46.13230443	48.54445161	90.80851811	158.8429589	39.11101163	64.52171326	59.22225281	64.76907566	67.48400859	29.09720662	25.49738931	20.19056529	92.18322801	91.82702238	158.5416466	67.18401989	76.33746166	104.4928506	103.3178912	89.58307353	318.4913604	102.0690367	4.997921568	122.6925438	125.9530272	206.6519229	99.879373	86.03249743	42.32669448	50.72211372	1.948637512	1.956883291	1.34151194	0.939369453	0.447080232	NA	156.7376817	45.40985841	50.75412245	19.07587152	9.016097261	10.86896012	34.91068341	33.74119662	27.91079731	12.56373694	8.738360612	14.03943546	14.74229023	9.865119587	17.62657238	0.3987407	6.298586135	3.40207649	89.52042196	85.07897853	120.3093732	29.13627661	23.00159905	44.10495761	89.33054635	69.35681181	81.21342117	19.03079661	29.76916371	16.80540724	98.73964885	86.20291955	94.81953584	25.47476098	17.03184952	6.798759749	24.71548314	21.41110951	31.28322709	9.440808485	7.336928436	15.7222112	28.73353495	8.820948898	27.32947174	27.17647161	22.91050077	66.32919357
FEX_0005195	Turquoise	68.63220279	103.9400855	68.63666273	126.8485286	224.632041	163.1203952	330.9198621	378.2205838	458.4291625	407.0435507	369.9240071	381.20224	NA	NA	NA	NA	NA	NA	357.708017	168.4647234	252.9437158	127.4389029	156.2002702	195.9257382	191.7301551	138.5233849	165.1274486	184.6518971	56.62966045	52.45353888	50.07073714	111.4807639	108.4671884	73.56259233	222.672079	341.508247	655.6889652	332.5167487	1415.411388	291.5659102	228.4379874	288.4663361	217.6121839	228.4511587	199.2881865	282.1762527	238.902959	190.6738156	198.0965964	361.6572393	299.0966752	283.0273742	32.23682815	224.5873118	239.6288114	303.3943997	290.0478489	332.4090303	96.21273227	194.7040373	207.6193912	76.53960794	95.69083221	122.4286363	171.9226796	164.3802954	159.3685268	320.5888518	203.5376446	209.7947169	202.408307	219.3916845	223.9469643	177.3707259	238.0703838	252.685066	206.5976483	184.4024234	195.7853244	200.7796619	157.0951049	158.2639457	344.2538935	352.3385408	336.373376	324.8032025	425.4486491	298.3900112	255.5474162	260.1517545	185.7532548	273.0862787	350.2518619	298.8523922	151.4426313	159.0224128	148.0586554	130.2205931	167.5824129	265.4976721
FEX_0008903	Darkolivegreen	0.215824537	NA	NA	NA	0.644867416	1.490425028	87.17751494	92.22978976	334.0064158	55.89675405	56.05241724	44.79783754	22.7384069	25.41504386	11.62358956	22.40826496	29.47341672	33.38661891	149.5664382	170.1644587	34.53472318	58.46296111	0.37882038	2.321000836	1.401682596	0.150739298	NA	NA	NA	NA	NA	NA	NA	NA	29.49131053	31.35843107	100.2428109	44.8481164	197.9176941	34.32467572	10.22032108	18.3377133	9.9879373	13.36991514	8.377158282	12.9278988	75.21740797	75.82922751	80.39233883	63.40743806	54.09670806	49.37282218	108.9382469	32.55285031	30.89381367	45.4886167	42.62155069	38.04136042	2.129829492	7.279778724	15.80243671	1.653123282	2.979384886	1.784673999	22.06040553	19.09357359	26.81913378	29.37389822	22.16169196	7.560169978	16.12684072	19.55033414	22.95407546	13.12225058	18.01791926	18.99651732	46.3009029	36.55291433	33.26146942	9.991168218	21.64182335	17.58705409	31.9888939	14.74858211	28.74619412	5.003970907	14.25113939	11.33126625	1.98334124	3.723131634	3.758837363	2.360202121	1.57219895	1.91734283	8.789081279	14.05838731	12.42248715	11.32352984	16.19535399	12.05985338
FEX_0004296	Magenta	62.90853607	77.76256346	149.3357093	85.6854841	73.94587184	103.6689969	11.09309629	8.716194523	7.622158605	40.14403245	25.52499743	62.75116937	0.12231526	0.867830766	1.892212254	1.47124972	4.27150967	57.54191462	4.810639387	3.795262318	8.977527605	9.257301705	0.883914221	1.547333891	0.901081669	3.014785953	3.147514975	4.405214246	NA	NA	NA	1.183824614	NA	5.617895196	NA	NA	3.940749324	0.753749855	NA	0.403819714	0.552449788	NA	NA	0.871950987	NA	NA	4.67673003	3.424545759	7.154730344	20.66612796	16.54196858	21.4259417	40.0181315	NA	NA	NA	NA	NA	4.07445642	3.466561297	1.231358705	7.108430111	5.608253902	6.186869863	1.272715704	1.735530298	0.850937977	3.322839165	5.365462263	3.780084989	NA	NA	0.238236383	NA	0.383359984	1.15630975	1.006541367	NA	NA	NA	0.717329246	3.517410818	0.688081177	NA	0.429047673	0.909812892	0.695177531	NA	7.780800249	8.894147793	5.680694531	16.24363721	5.762109153	9.203245583	43.27270364	13.78273265	31.05621789	27.5501481	12.64027628	21.70773608
FEX_0002963	Green	52.66118705	58.00686319	54.13914981	44.25759102	92.1096374	57.98084566	41.95465906	37.24192205	66.29393857	18.97101956	13.35887716	20.34710942	481.3570293	486.856779	446.3525969	392.4558627	382.9735901	211.5557724	50.86740859	91.3449931	30.1074767	34.79643997	158.8355973	189.3163015	166.8442818	84.43661757	79.19021776	74.23153106	20.19830202	22.55181961	23.00866386	9.665927974	9.580815027	11.23579039	NA	NA	NA	NA	NA	NA	27.6224894	35.73503104	16.23039811	24.41462765	14.10889816	20.63491539	61.18721789	63.5693537	50.074169	31.46887667	25.66687612	26.54953646	1.111614764	69.20900107	45.07974852	20.54324625	33.60545343	34.41837371	89.5565521	98.9460591	105.0759428	50.08963543	39.43303525	67.46067716	124.6126551	103.4960657	118.4019414	68.8492275	51.32181296	43.09296887	444.5643396	492.3016127	468.6705235	202.4679862	129.2689867	209.6422614	385.0121384	375.3375087	338.4188206	136.0701957	124.0943729	162.1917211	412.3223239	478.6754037	488.1168119	143.0999207	208.5532594	166.1994591	87.26854021	80.05146695	89.3681771	31.59039762	46.77291878	40.83940228	9.465164455	12.40445939	16.64613279	16.23039277	16.59036262	24.60210089
