cluster	color	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0000005	greenyellow	0.887891257352457	1.3244189574018	1.29746314741327	1.61342993370364	1.0952733874026	2.67138621673062	NA	1.31640823365572	NA	0.904218150639886	NA	0.89199803930511	NA	1.12492959698548	NA	NA
FEX_0000034	grey	3.34744492566291	4.09999523373092	3.66073714816766	4.15512603448196	3.05776766447344	3.75349609719991	2.58475198475772	1.59127394180643	3.08876713952118	3.34321509912381	3.02577639490237	3.34814816057234	3.75793899004543	2.62466859216316	4.05352256770185	3.48216274048526
FEX_0000047	darkmagenta	2.07693841146172	2.8160073426073	2.97552956623647	2.68444033546308	0.751416088683921	1.7509374747078	0.593326845277734	0.955511445027436	2.34660197841082	2.63188884013665	1.66581824587021	2.63404478779171	2.80578168959555	1.68639895357023	2.06559613485778	2.04640168760164
FEX_0000050	grey	2.21046980408624	1.87180217690159	2.00552585872967	2.56032328907275	NA	1.04027671165515	0.576613364303994	0.928219302739429	NA	0.582215619852664	1.03673688495002	NA	NA	0.56531380905006	1.41342302850814	0.959350221334602
FEX_0000061	darkmagenta	1.59127394180643	2.29857707159651	2.52091708731103	1.98787434815435	0.985816794522765	0.392042087776024	0.598836501088704	0.431782416425538	2.90197089373952	2.80275413657151	1.75785791755237	2.69799986524871	1.94304891677428	1.53039470509365	1.54115907168081	1.93730177451871
FEX_0000095	blue	4.79148376405158	4.37600856234832	3.87908650518188	5.16809477949806	4.99437040163022	5.12806271097222	5.00796506554038	4.98832151649967	3.68812917272323	3.39383702725586	4.26352459059288	3.92058623608863	4.08092154188996	4.04882404692029	4.52200594472732	2.88368276974537
FEX_0000099	grey	1.95868534054404	2.55877649835446	2.46044317760963	1.85473426838944	1.43983512804792	1.14740245283754	1.30833281965018	0.947789398933526	1.98100146886658	2.11142458753289	1.83258146374831	1.66392609771817	2.10169215061466	1.69009581545155	1.5953389880546	0.482426149244293
FEX_0000108	grey	3.4986265269937	4.30676415017333	3.70941710533148	4.22902113221398	2.99071973173045	3.81924960527579	2.79850010402428	2.05284085988266	3.25886547308436	3.47815842279828	2.95125778345216	3.29286950477653	3.74832691275736	2.61227324570844	4.13692500975722	3.43301899398511
FEX_0000114	grey	1.71739505393919	1.52822785700856	0.85015092936961	2.38967979984498	1.13462272619114	2.28238238567653	1.97129938306013	1.47017584510059	1.40118297361364	0.46373401623214	0.418710334858185	0.559615787935423	NA	1.20597080698861	1.19088756477728	0.792992515529661
FEX_0000167	grey	3.84524197173779	5.6080788841427	5.0887684874996	5.13867664397714	4.6909808424012	4.76063428861216	3.95623126009247	3.90197266957464	2.22570404865809	5.53560048141597	3.40850395684459	4.7566028897483	5.35922430145156	4.59824627091527	5.34953315793231	4.96389303154412
