cluster 	color	NQ1	NQ2	NQ3	NQ4	NQ5	NQ6	NW1	NW2	NW3	NW4	NW5	NW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0000005	 darkolivegreen	0	0.39	0.6	0	0	2.92	0	0	0	0	0	NA	0.29	0	0	0.35	NA	0	NA	NA
FEX_0000016	 darkolivegreen	0.08	0.14	0.38	0	0.86	1.62	0	0.2	0.46	0	0	0.18	0.26	0	0	0	0	0.16	0.24	0.3
FEX_0000034	 lightsteelblue1	NA	NA	NA	NA	NA	0	0	2.78	0	0	0	1.17	0	0	NA	0	NA	0	NA	0.14
FEX_0000047	 darkolivegreen	0.33	0	0.34	0.7	0	2.43	0.09	0.22	0.07	0	0.32	0	0.26	0.11	0	0.3	0	0.16	0	0
FEX_0000050	 red	0.11	0	0.05	5.71	NA	3.91	0	0.39	1.34	0	0	0.74	0.31	0.33	0	0	0	0	0	0.31
FEX_0000061	 tan	NA	0.18	0.21	0	NA	1.02	NA	0.48	1.67	NA	NA	0.3	0.1	0	NA	NA	NA	NA	0.32	0.33
FEX_0000062	 darkolivegreen	0	0.2	0.73	NA	NA	3.06	0	0	0.29	0	0.19	0.79	NA	0	NA	0.41	0	1.47	0	0
FEX_0000071	 blue	0.08	0.24	0.14	2.58	NA	2.69	0.26	0.22	0.13	0.16	0.26	0	0	3.2	NA	0.13	0.06	0.16	NA	0.13
FEX_0000095	 darkgrey	NA	NA	1.4	NA	NA	NA	0	0	0	0	0	0	0	0.22	0	NA	1.97	NA	0	NA
FEX_0000099	 mediumpurple3	0.3	NA	7.82	0.22	NA	NA	NA	0.4	0.27	NA	0.28	2.94	0	0.18	0.09	NA	0.1	NA	NA	2.21
FEX_0000108	 blue	0	0.13	0	0.16	0	NA	0.19	2.34	0.16	0.44	0.16	0.61	0	4.22	0.16	0.12	0.08	0.25	0.27	0
FEX_0000114	 darkolivegreen	0.55	0.37	0.17	1.27	0.18	2.72	0.08	0.2	0.24	0	0.38	0	0.06	0.08	0.05	0.16	0	0.7	0	0.09
FEX_0000115	 darkolivegreen	0	0	NA	0.93	NA	15.38	0	NA	NA	0.4	NA	0.48	NA	0	0	0	NA	0	0	0
FEX_0000141	 darkolivegreen	NA	0.17	0	NA	NA	1.34	NA	NA	0	NA	NA	0	0.15	0	NA	NA	0.04	0	0	0
FEX_0000167	 salmon	44.47	0.47	0	10	NA	51.3	21.76	2.7	NA	0.12	14.56	18.01	0.33	1.33	0	38.61	NA	5.19	NA	34.22
FEX_0000176	 darkolivegreen	0	0.54	0	0	NA	2.59	2.21	1.41	NA	NA	0	0	0	0	NA	0.02	0	0	0	NA
FEX_0000205	 darkolivegreen	0	0.55	NA	0.7	NA	2.02	0	1.04	0.34	0.42	0	0	0.68	NA	0	NA	0	0.28	0.07	0.13
FEX_0000206	 brown	0	0	0	0	NA	0	0	0.67	NA	NA	NA	NA	1.69	NA	0	0.09	0.18	0	NA	NA
FEX_0000212	 green	25	6.82	50.33	NA	NA	NA	91.05	31.49	72.95	NA	0	0.31	17.98	50	100	11.54	11.9	0	NA	0.87
FEX_0000213	 darkolivegreen	0	0.15	0	NA	NA	1.72	NA	0.47	0.64	NA	NA	0.14	0.21	0	NA	0.11	0.06	0.32	NA	NA
FEX_0000215	 darkmagenta	0	NA	0.26	0	0	NA	0	NA	0	1.08	NA	0.16	0.76	0	NA	NA	0	0	0.38	0.2
FEX_0000220	 darkolivegreen	0	NA	0	0	NA	3.54	0	2.13	NA	NA	NA	0.28	0.37	NA	NA	0	0.09	0	NA	0
FEX_0000221	 green	0.18	0.09	NA	1.08	0.27	1.7	2.21	0.07	0	NA	NA	1.25	0.84	0	NA	NA	NA	0.49	NA	0
FEX_0000222	 darkolivegreen	NA	0.2	0	NA	NA	3.23	0	0	0.26	NA	NA	NA	0	0	NA	NA	0	0	0.87	0
FEX_0000223	 purple	0	2.08	0.08	0.38	0.23	1.62	9	0	NA	49.44	0	0.22	0.3	0	NA	0	NA	33.34	28.33	0
FEX_0000224	 darkolivegreen	0	0	0	0.74	NA	2.7	0	0	NA	0	0	0.36	0.88	0	NA	0.55	NA	0	1.02	0.51
FEX_0000225	 green	NA	NA	50	24.75	49.53	NA	0	50	33.51	0	NA	32.62	0	75	NA	55.55	NA	52.78	NA	64.44
FEX_0000226	 green	NA	NA	50	24.75	49.53	NA	0	25.43	33.51	0.08	NA	19.72	0	60	NA	50.03	NA	35.19	NA	42.96
FEX_0000227	 darkolivegreen	0.04	0.24	0.29	0.17	0.14	2.21	0.25	0	0.25	0.5	0.28	0	0.39	0.1	0	0.13	0.05	0.35	0.21	0.22
FEX_0000228	 darkolivegreen	0	0	0	0.56	NA	4.08	0.02	0.16	0	0	0.36	0.44	0.01	0	NA	NA	0.06	0.33	NA	0
FEX_0000229	 darkolivegreen	0.14	0.13	NA	0.18	NA	1.44	0	0	0.31	0	0.28	0	0.22	0	0	0.1	0.22	0.34	0.37	0
FEX_0000230	 lightsteelblue1	0	NA	NA	0	NA	0	0	1.03	0.13	0.18	0.22	0.48	0	0.02	0.14	0.56	0	0	0.16	0.41
FEX_0000233	 greenyellow	0.15	2.42	1.12	0.79	0.23	1.44	0.27	0.53	0.24	0.12	0.4	0.86	0.14	0.79	0.06	0.84	0.05	1.12	2.14	0.59
FEX_0000234	 darkgrey	0.69	0.38	3.85	0	0.17	2.02	0.22	0.17	0.03	NA	0.43	0.16	0.02	0.3	0	NA	0.13	0.46	0.29	0.85
FEX_0000236	 darkolivegreen	0.07	0	0.56	0	0.19	1.84	0	0.37	0.29	NA	0	0	0.12	0	0	0	0	0.18	NA	0.13
FEX_0000238	 darkolivegreen	0.14	0.19	0.23	0.15	0.44	1.64	1.33	0.48	0.42	0.09	2.05	0.21	0.43	0.4	0.09	0.05	0.18	0.17	0.15	0.15
FEX_0000239	 blue	0.83	NA	0.68	0	NA	NA	0	0	0.25	NA	0	0	0.3	0.53	0	0	0	NA	NA	0.18
FEX_0000241	 darkmagenta	0	NA	0.26	NA	NA	4.35	0	0	0	1.52	0.51	0.93	0	0	NA	0	NA	0	0	0
FEX_0000242	 darkmagenta	0	NA	0.26	NA	NA	4.35	0	0	0	1.52	0.51	0.93	0	0	NA	0	NA	0	0	0
FEX_0000244	 darkolivegreen	0.47	0.13	0	0	0.1	2.92	0.24	0.09	0.16	0.3	0.54	0	0.08	0	0	0.11	0	0.12	0.03	0.17
FEX_0000262	 purple	1.49	0.32	0.29	0.05	0.16	13.62	0.47	0.12	0.48	0.29	8.48	0.07	3.48	0.04	7	0.08	6.58	13.51	0.25	0.15
FEX_0000264	 lightsteelblue1	0.68	0	0.08	0.49	0	2.71	1.43	10.33	0.59	0	0.31	0.13	0.19	0	NA	0.32	0	0	0	0.08
FEX_0000265	 lightsteelblue1	0.68	0	0.08	0.49	0	2.71	1.43	10.33	0.59	0	0.31	0.13	0.19	0	NA	0.32	0	0	0	0.08
FEX_0000266	 lightsteelblue1	50	0.16	NA	NA	NA	3.12	2.86	NA	50	NA	96.16	47.94	3.52	NA	NA	0	NA	40.52	NA	0
FEX_0000267	 darkolivegreen	NA	0	0.3	0	0.24	1.21	0.24	0.14	0.22	NA	0.14	0.11	0.1	0	0.07	0.13	0.66	0.31	NA	0.06
FEX_0000269	 skyblue	24.47	0.3	0.51	0.26	0	2.46	14.72	25.05	24.78	0	16.04	20	2.65	26.98	0.07	0.26	66.67	0	0	0.04
FEX_0000271	 magenta	0	0	0	0	NA	NA	0.11	0	0.6	NA	2.13	0	0.14	0	NA	0	0	0	0	0
FEX_0000272	 darkolivegreen	0	0.35	0	NA	NA	1.44	0	0	0.33	NA	1	0	0.16	0	0	0	0.24	0.25	0	2.13
FEX_0000273	 salmon	50	0.53	1.24	0	0	2.26	0.26	9.86	0.23	0	0.41	0.13	0	1.11	0	0	0.03	0.2	0	0.12
FEX_0000278	 grey	33.41	0	NA	25.44	NA	1.73	74.5	33.64	50.17	33.48	NA	NA	66.83	0	NA	0.75	NA	0.17	25.31	33.33
FEX_0000291	 tan	NA	NA	0.26	0	NA	NA	0	0	0.42	NA	0	0	NA	0	0	NA	NA	0	0.16	0
FEX_0000292	 tan	NA	NA	0.26	0	NA	NA	0	0	0.42	NA	0	0	NA	0	0	NA	NA	0	0.16	0
FEX_0000293	 darkolivegreen	0	0.14	0.08	0.16	0.11	2.58	0.3	0.95	0.44	NA	NA	0.23	0.36	0	0.05	NA	0.12	0.03	NA	0
FEX_0000294	 darkolivegreen	0	0.14	0.08	0.16	0.11	2.58	0.3	0.95	0.44	NA	NA	0.23	0.36	0	0.05	NA	0.12	0.03	NA	0
FEX_0000299	 red	0	0	0	1.94	NA	NA	0	0.25	0	2.17	NA	NA	0	0	NA	0	NA	0	0.23	0
FEX_0000305	 darkolivegreen	0.2	0.29	0.05	0.6	0.14	18.43	0.1	0.09	0.1	0.33	0.22	0.23	12.59	0.02	0	0.47	0.06	0.49	0.24	0.05
FEX_0000306	 darkolivegreen	0.2	0.29	0.05	0.6	0.14	18.43	0.1	0.09	0.1	0.33	0.22	0.23	12.59	0.02	0	0.47	0.06	0.49	0.24	0.05
FEX_0000309	 darkolivegreen	0	0.36	0	0	0.05	4.17	0.09	0.44	0	0.02	0.31	0.4	0	NA	NA	0.31	NA	0.87	NA	0.81
FEX_0000310	 black	0	0.21	0.27	2.29	0.17	2.17	0	0.37	0.22	NA	NA	1.43	0	0	0.2	0	NA	0	0.09	0.18
FEX_0000312	 darkolivegreen	0.29	0.3	0.59	1.27	0.08	1.77	0.12	0.42	0.26	0.18	0.25	0.23	0.34	0	0	0.15	0.06	0.27	0.16	0.36
FEX_0000313	 darkolivegreen	0.26	0.21	0.43	1	0.08	1.75	0.24	0.37	0.32	0.24	0.22	0.18	0.41	0	0.01	0.12	0.05	0.18	0.19	0.34
FEX_0000314	 darkolivegreen	0	NA	0	0	0.42	2.62	0.63	0.14	0	0	NA	0.36	0	0	0.07	0	0	0.15	1.54	0.34
FEX_0000316	 darkgrey	0.19	NA	NA	NA	NA	0	0.42	0.33	NA	NA	NA	NA	0.09	0.22	0	0.1	0	0	0	NA
FEX_0000325	 darkred	0	0.15	0	0	NA	NA	0.3	0.76	0.05	0.2	0	0	0.08	0	NA	0.62	0	0.27	2.5	0
FEX_0000326	 darkred	0	0.15	0	0	NA	NA	0.3	0.76	0.05	0.2	0	0	0.08	0	NA	0.62	0	0.27	2.5	0
FEX_0000327	 grey	20.17	0.22	0.32	0.08	0.34	0.66	8.38	10.27	11.75	NA	0.2	0	7.91	16.67	0	0.26	0	12.71	0.09	0
FEX_0000328	 darkolivegreen	50.11	0	NA	0.38	NA	NA	33.33	40.06	38.64	NA	NA	0	15.62	75	NA	0.09	0	50	0	0
FEX_0000330	 darkolivegreen	0	0.53	0	0.42	0	3.69	0	0.86	0.18	0	0	0	0	0.43	NA	5.81	NA	0	NA	0
FEX_0000331	 mediumpurple3	0.06	NA	NA	12.5	14.28	0	11.38	13.23	0	0	NA	0	0	0.13	NA	33.33	NA	0.19	NA	14.16
FEX_0000332	 greenyellow	NA	0.45	0	NA	NA	1.64	0	0.27	0	0.18	0.16	0	0.05	0	NA	0	0	0.2	NA	0
FEX_0000337	 darkolivegreen	0.09	0.66	NA	0	NA	3.26	0.52	1.33	0	0	0	0.12	0	0	0	0	NA	0	NA	0.15
FEX_0000339	 darkolivegreen	0.09	0	0	0	0	2.89	0.17	1	0.32	0.2	0.44	0.04	0.04	0	0.1	0.03	0	0.32	0.51	0.08
FEX_0000342	 black	0	0.71	0	NA	NA	1.69	NA	0.08	0.15	NA	NA	2.94	NA	0	0.09	NA	NA	0	NA	0
FEX_0000363	 darkolivegreen	NA	NA	NA	0	NA	1.27	0	0.89	0	NA	0	0	0.05	0	NA	NA	NA	0	0	0
FEX_0000364	 sienna3	0.61	6.51	0.26	10.04	0.06	2.06	0.32	2.41	0.16	0	8.76	0.15	0.37	9.77	25	0.33	0	3.34	0	2.54
FEX_0000365	 darkolivegreen	0.08	0	0.07	0.07	0	3.16	0	0.05	0.17	0.25	0.08	0.21	0.05	0.64	0.19	0	0.56	0.38	0.29	0
FEX_0000366	 darkolivegreen	0	NA	0	NA	NA	3.86	0	0	0	NA	NA	0.39	0.02	0.22	0	NA	0.31	NA	NA	0
FEX_0000367	 darkolivegreen	0.46	0.11	0.12	0.26	0.16	1	0.08	0.46	0.25	0.1	0.52	0.3	0.18	0.03	0.02	0.03	0.08	0.46	0.81	0.11
FEX_0000368	 darkolivegreen	0.46	0.11	0.12	0.26	0.16	1	0.08	0.46	0.25	0.1	0.52	0.3	0.18	0.03	0.02	0.03	0.08	0.46	0.81	0.11
FEX_0000369	 mediumpurple3	0.15	0.29	0	0.4	NA	0.87	0.32	0	0.28	0	0	0	0.07	0	0.04	0.16	0.02	0.06	NA	6.96
FEX_0000371	 darkolivegreen	0.16	0.22	0.17	0.45	0.21	1.58	0.19	0.21	0.32	2.07	1.32	0.27	0.17	0.7	1.75	0.11	0.08	1.45	0.22	0.79
FEX_0000372	 darkolivegreen	0	NA	0	0.67	NA	2.34	0	1.76	0.33	NA	1.43	0.4	NA	0.25	0	0.11	NA	0	0.1	0
FEX_0000373	 sienna3	0.13	0.08	0.02	0	0.11	1.5	0.09	0.12	0.24	0.58	0.05	0.17	0.22	0.01	33.81	0.1	0.04	0.26	0.08	2.68
FEX_0000374	 purple	0.16	0.3	0.09	0	NA	NA	0.82	0.25	0.17	0.28	0.85	1.05	0.04	0	0.03	0.05	0.05	10.01	0.05	0.52
FEX_0000376	 darkolivegreen	0.06	0	0	0.28	NA	1.38	0	0.13	0.43	0.28	0	0	0.11	0.06	0	0.13	0.11	0.41	0.25	0.21
FEX_0000377	 blue	0.22	0.31	0.08	0.17	NA	3.12	0	0.25	0.27	0	0.13	0.27	0.06	40	NA	0	0	0.44	0.05	0.02
FEX_0000378	 purple	0	0.09	0.57	0	NA	1.23	0.38	0	0.36	0	0.17	0.23	0.02	0	0.03	NA	NA	0.9	0	1.12
FEX_0000379	 blue	0.22	0.31	0.08	0.17	NA	3.12	0	0.25	0.27	0	0.13	0.27	0.06	40	NA	0	0	0.44	0.05	0.02
FEX_0000380	 darkmagenta	5.23	34.08	33.09	0	NA	3.57	16.67	0	2.43	32.8	NA	0.19	0	0	0	0.28	0.09	NA	0	10
FEX_0000381	 darkmagenta	NA	34.08	33.09	NA	NA	10.71	33.33	0	16.5	97.87	NA	NA	0	0	0	0	0.09	NA	NA	25
FEX_0000382	 darkolivegreen	0.31	0.3	0.54	0.07	0.19	2.02	0	0.09	0.28	0.06	0.49	0.12	0.04	0.02	0	0.06	0.03	0.33	0.31	0.24
FEX_0000383	 darkolivegreen	0.31	0.3	0.54	0.07	0.19	2.02	0	0.09	0.28	0.06	0.49	0.12	0.04	0.02	0	0.06	0.03	0.33	0.31	0.24
FEX_0000384	 darkolivegreen	0.15	0.62	0	NA	0	1	0	0.16	0	0	1.25	0	0.09	0	0.01	0.03	0.03	0	0.36	0.84
FEX_0000385	 darkolivegreen	0.15	0.62	0	NA	0	1	0	0.16	0	0	1.25	0	0.09	0	0.01	0.03	0.03	0	0.36	0.84
FEX_0000386	 darkolivegreen	0.26	0.19	0.37	0.74	0.12	2.12	0.11	0.3	0.36	0.23	0.24	0.35	0.14	0.02	0.02	0.03	0.04	0.13	0.18	0.57
FEX_0000390	 darkolivegreen	0.09	0.16	0.63	0	0	51.52	0.75	50	0.06	0	50.21	0	0.19	0.22	NA	0	0.07	0	0.03	16.69
FEX_0000392	 darkolivegreen	0.33	0.59	0.08	0.72	0.32	4.98	0.33	0.16	0.32	0.49	0.16	0.18	0.5	0.02	0.03	0.26	0.05	0.14	0.28	0.53
FEX_0000393	 red	0.33	0.53	0.59	3.18	0.04	1.09	0.13	0.19	0.14	0	0.53	0.81	0.12	0.01	0.09	0	0.09	0.04	0.18	0.24
FEX_0000395	 darkolivegreen	NA	0	NA	0.07	0	2.27	0	0	0	0	NA	NA	0	0	0	0	0	NA	0	0
FEX_0000396	 darkolivegreen	NA	0	NA	0.07	0	2.27	0	0	0	0	NA	NA	0	0	0	0	0	NA	0	0
FEX_0000398	 darkolivegreen	0	0	0.25	NA	NA	1.82	0.31	0.13	0.8	NA	0	0.22	0.96	0.25	0	0.1	0.14	0	0	0
FEX_0000399	 darkolivegreen	0	0	0.25	NA	NA	1.82	0.31	0.13	0.8	NA	0	0.22	0.96	0.25	0	0.1	0.14	0	0	0
FEX_0000401	 magenta	0.02	0.07	5.26	0.62	0	1.51	0.26	0.17	0	NA	13.63	0.55	0.49	0	0	NA	NA	0	NA	0
FEX_0000403	 darkolivegreen	NA	0.13	NA	1.08	NA	2.41	NA	0.12	0.45	NA	0.21	0	0	0	NA	NA	0.34	NA	NA	0.22
FEX_0000404	 darkolivegreen	0	0	NA	3.57	NA	NA	0.1	1.67	0	NA	NA	NA	0	0	NA	NA	0	0	NA	1.96
FEX_0000407	 magenta	0.08	0.22	0.18	0.16	0	0.88	0.28	0	0.42	0.25	1.09	0.21	0.19	0	0.22	0	0	0.23	0	0.18
FEX_0000408	 darkolivegreen	0.08	0	0.24	0.41	NA	2.19	0	0.74	0.15	0.09	0.43	0.37	0.28	0	NA	0	0	0.3	0.13	0
FEX_0000409	 darkred	NA	0	100	100	NA	NA	0	0	0	0	0	NA	0.38	0	NA	0	NA	0.24	100	40.12
FEX_0000410	 mediumpurple3	NA	0	NA	NA	NA	NA	0	0	NA	0	0	NA	0.38	0	NA	0	NA	0.24	100	25.14
FEX_0000411	 black	NA	0	0.14	NA	0	NA	0.03	0.38	0.21	NA	0	0.82	0.04	0	0.09	0	0	0.1	NA	0.14
FEX_0000414	 lightsteelblue1	0	NA	NA	0	NA	NA	0	1.2	1.83	0	NA	0.45	0	0	NA	NA	0	0	NA	0
FEX_0000420	 darkolivegreen	0.14	0.07	0	NA	NA	7.57	0	0	4.67	0	NA	NA	NA	0	0	0	0	NA	0.14	NA
FEX_0000422	 magenta	NA	0	0.09	0	NA	NA	0	0	NA	0.06	1.39	0	NA	0	0.36	NA	0.09	0	0.33	0
FEX_0000425	 brown	NA	0	0	0.26	NA	NA	0	0.2	0.1	0.16	1.47	NA	7.8	0	NA	0.05	0	0.79	0.25	0
FEX_0000426	 mediumpurple3	0	0	0	0.1	0	0	0.17	0	0	0	0	0	0.08	0	NA	0.11	0	0	0	0.68
FEX_0000429	 darkmagenta	0.32	0.86	0	0.21	0.14	1	0.67	0.04	0.4	2.71	0.99	0.51	0.28	0.33	NA	0	0.07	0.06	0	0
FEX_0000430	 darkmagenta	0.32	0.86	0	0.21	0.14	1	0.67	0.04	0.4	2.71	0.99	0.51	0.28	0.33	NA	0	0.07	0.06	0	0
FEX_0000431	 darkolivegreen	0.21	NA	NA	0.37	0.15	1.15	0.2	0.28	0	NA	NA	0	0.97	0	NA	0	0.13	NA	0	0.37
FEX_0000432	 darkolivegreen	0	0.17	0.08	0	0.04	2.37	0.78	0.12	0.11	0.18	0.3	0.26	0.44	0	0	0.15	NA	0.09	0	0.02
FEX_0000434	 green	0	0.17	NA	0	NA	1.42	1.04	0.1	0.06	NA	0.13	0.09	0.26	0.01	0	0.04	0.02	0.55	0.28	0.07
FEX_0000435	 darkolivegreen	0	NA	NA	NA	NA	3.16	0.91	0	0.47	NA	0.67	0	NA	0	NA	0	NA	1.19	0.53	0
FEX_0000436	 darkolivegreen	0.15	0.27	0	0	NA	3.57	0	0.3	0.42	0	0.27	0.5	0.05	0	0	0	0	0.23	0.16	0
FEX_0000437	 darkolivegreen	1.27	0.45	0.16	0.49	0.19	1.56	0.12	0.91	0.32	1.31	1.64	0.43	0.27	0.04	0.04	0.07	0.11	0.29	0.2	0.36
FEX_0000438	 green	0	0	NA	0	0	NA	0.66	0.85	0.62	0	NA	0	0.81	0	NA	NA	NA	0	0.19	0.27
FEX_0000439	 darkmagenta	NA	0.98	0.32	0	0.12	1.41	0	0.48	0.51	15.82	0.56	0.22	0.18	0	NA	NA	NA	0.28	0.18	0.09
FEX_0000440	 lightsteelblue1	0.08	0.09	0	0.13	NA	0.84	0.2	5.79	0.21	0.19	0.57	0.3	0.39	0.09	NA	0.16	NA	0.26	NA	0.31
FEX_0000441	 brown	0	NA	0	0.2	NA	1.15	0.03	0	0.41	0.2	0.22	0	1.13	0.08	NA	0.11	0.1	0.95	0.44	0.28
FEX_0000442	 darkmagenta	0	NA	0.22	0	0.16	1.57	0.16	0	0.17	1.96	NA	NA	0	NA	NA	NA	0.15	0.37	NA	0
FEX_0000443	 darkmagenta	0.08	0	0.1	0.11	0.06	1.23	0.07	0.23	0.06	3.95	0.53	0.16	0.84	0.56	0.12	0.37	0.12	0.18	0.17	0.22
FEX_0000444	 darkmagenta	0	NA	0	0.91	NA	NA	0.27	0.2	0.12	24.01	NA	0.18	3.26	0	NA	NA	NA	0	0	0
FEX_0000445	 blue	0	0	NA	0	NA	1.37	0	0.15	0	0.12	0	0	0.22	1.43	0	0.58	0.15	0.45	0	0.31
FEX_0000446	 darkolivegreen	NA	NA	0.23	NA	NA	3.12	0	0	NA	NA	NA	0.44	0.09	0.3	NA	0.06	0.14	1.41	NA	0
FEX_0000447	 red	0.11	0.31	0.12	1.3	0.16	1.17	0.12	0.22	1.2	0	0.37	0.47	0.29	0.24	0	0	0.07	0.43	0.14	0.21
FEX_0000454	 darkolivegreen	0	NA	0	NA	0	2.02	0	0.25	0.32	0.25	0	0	0.46	NA	NA	NA	0	0.46	0	NA
FEX_0000459	 darkolivegreen	0	0	100	NA	0	NA	0	50.8	7.55	100	NA	50	0	0	NA	0	0	50	0.94	40.61
FEX_0000460	 darkolivegreen	0.25	0.05	0.11	0.92	0.35	1.52	0.2	0.15	0.34	0.33	0	0.35	0.02	0.02	0.12	0.14	0.09	0.04	0.1	0.06
FEX_0000469	 darkolivegreen	0.15	0.16	NA	0.22	0.11	1.45	0.24	0.26	0.03	0.52	0.24	0.05	0.33	0	0.09	0	0	0.78	0.02	0.17
FEX_0000470	 darkolivegreen	0.11	0.16	0.38	0.47	0.42	2.73	0	0.11	0.18	0.07	2.07	0.27	0.11	0	NA	0.03	0.15	0.24	0.17	0
FEX_0000471	 darkolivegreen	0.11	0.16	0.38	0.47	0.42	2.73	0	0.11	0.18	0.07	2.07	0.27	0.11	0	NA	0.03	0.15	0.24	0.17	0
FEX_0000472	 darkolivegreen	0.34	0.18	0	0	NA	1.73	0	NA	0.18	NA	0.38	NA	0.08	0	NA	0.11	0	NA	NA	0
FEX_0000473	 darkolivegreen	0.34	0.18	0	0	NA	1.73	0	NA	0.18	NA	0.38	NA	0.08	0	NA	0.11	0	NA	NA	0
FEX_0000474	 magenta	0.05	0.63	0.23	0	NA	0	0	0.28	NA	0	1.43	0.14	0.05	0	0	0.06	NA	0	0.1	0
FEX_0000475	 grey	99.18	100	100	NA	99.57	1.77	0.95	49.89	0	NA	NA	97.62	100	75	0	100	0	NA	0	0
FEX_0000479	 darkolivegreen	100	NA	NA	NA	NA	NA	50	50	100	96.43	NA	100	0	100	99.49	NA	NA	100	NA	4.35
FEX_0000480	 darkolivegreen	100	NA	NA	NA	NA	NA	50	50	100	96.43	NA	100	0	100	99.49	NA	NA	100	NA	4.35
FEX_0000481	 darkolivegreen	0	0	1	NA	NA	7.14	0	NA	0.24	0	0	0	NA	0	0	NA	0	NA	0	0
FEX_0000483	 red	0.08	25	10.02	66.23	NA	3.12	6.73	7.83	0.14	NA	0	28.76	3.51	16.25	22.49	12.5	7.76	0.14	0	13.84
FEX_0000484	 darkolivegreen	0.37	0.25	0.22	0	NA	1.44	0.12	0.29	0.35	0	0.34	0.13	0.36	0.02	0	0.37	0	0.08	0.06	0.17
FEX_0000485	 midnightblue	NA	0.27	0	0	NA	NA	0.19	0.49	0.34	0	NA	0	0	0	0	0.93	0	0.07	0.1	0.31
FEX_0000488	 darkolivegreen	0.1	0.07	0.23	0.04	0.15	0.83	0.27	0.32	0.19	0.51	0.45	0.37	0.5	0.03	0.06	0.1	0.03	0.15	0.13	0.32
FEX_0000489	 darkolivegreen	0.78	0	NA	NA	NA	3.6	0	0.4	0.09	NA	NA	1.27	0.7	0	NA	0	0	0.09	NA	0.61
FEX_0000492	 darkolivegreen	0	0.27	0	0.56	NA	0.75	0	1.19	0.97	0	0.66	0	0.24	0	NA	NA	0.07	NA	0.22	0.59
FEX_0000493	 darkolivegreen	0.18	0.59	0.4	0.08	NA	1.29	0.25	0.29	0.14	0.38	0.11	0	0.29	0.01	0.02	0	0.06	0.4	0.07	0.35
FEX_0000494	 salmon	0.7	0.6	0	0.58	NA	NA	0	0	NA	NA	0.31	NA	0	0	0.04	NA	0.17	NA	NA	0
FEX_0000496	 grey	0.07	0.59	0.6	0	NA	0.47	0.36	0.41	NA	0.38	0	NA	0.33	0.02	0	0	0	0.85	0.06	0.4
FEX_0000498	 red	0.14	0.07	0.29	4.14	0.2	2.19	0.15	0.25	0.31	0.25	0.36	0.18	0.08	0	0.02	0.06	0.11	0.39	0.26	0.24
FEX_0000499	 tan	0.21	NA	0.36	0	0	1.29	0.11	0.19	1.85	NA	0.41	0.34	0.18	0	0	0.03	0.18	0	NA	0.71
FEX_0000500	 darkolivegreen	NA	100	NA	NA	100	NA	66.67	33.33	NA	0	0	34.15	NA	33.33	0.11	NA	0.1	100	NA	0
FEX_0000502	 darkolivegreen	0	0.34	0	NA	NA	3.08	0	0	0.45	NA	NA	0.75	0.23	0	NA	NA	NA	NA	NA	0.46
FEX_0000505	 darkolivegreen	0.12	0.54	0.09	0.31	0.14	1.98	0.22	0.66	0.45	0.15	0.35	0.2	0.15	0.44	0	0.11	0	0.25	0.1	0.88
FEX_0000506	 magenta	0.07	0	NA	0.38	NA	NA	0	0	NA	0.42	1.13	NA	NA	0	NA	NA	0	0	NA	0.14
FEX_0000507	 red	0.16	0.14	0.16	2.71	0.21	1.76	1.25	0.23	0.19	0.1	0.21	0.28	0.18	0.15	0.04	0.07	0.1	1.53	0.6	0.28
FEX_0000508	 darkolivegreen	0	0	0.22	0.61	0	3.92	NA	0	0.22	0	1.4	0.58	0.24	0	0	NA	NA	0.09	0.48	0
FEX_0000511	 black	0.08	1.02	0.6	0.37	6.53	1.38	0.43	0.42	0.15	0.21	0.11	3.13	0.08	0.05	0.03	0.01	0.14	0.09	0.39	0.59
FEX_0000512	 darkolivegreen	NA	0.34	1	0.28	0	2.93	0	0	0	0.18	0.22	0.27	0	0	NA	0	0.04	0.33	0	0
FEX_0000513	 red	0.77	0.13	0.26	2.08	0.06	1.13	0.61	0.2	0.16	0.12	0.4	0.24	0.19	0	0.07	0.05	0	0.07	0.22	1.11
FEX_0000514	 green	0.19	0.22	NA	NA	0.06	1.46	1.22	0.4	0.48	0	0.45	0	0.19	NA	0.02	0.05	0	0.08	NA	0
FEX_0000516	 red	0.13	0.04	0	0.61	0	0.38	0	0.1	0.27	NA	NA	0.4	0.14	0.02	0	0	0.09	0	0.27	0.3
FEX_0000517	 black	0.39	0.14	0.1	0.69	NA	1.73	6.67	0.23	0.2	0.21	0.35	9.49	0.05	1.11	0	0.04	0.07	0.13	0.38	2.34
FEX_0000518	 black	0.5	0.2	0.09	0.31	NA	3.08	6.99	0.22	0.03	0.21	0.35	10.17	0.22	1.88	NA	0.04	0.05	0.14	NA	2.76
FEX_0000519	 darkolivegreen	0.11	0.08	0	1.32	0.24	3.57	0.1	0.24	0.08	0.64	0.42	0.55	0.1	0	0.06	0.13	0.05	0.26	0.02	0.13
FEX_0000520	 greenyellow	0	33.27	0.87	0.21	0	1.36	0.43	0.18	0	NA	0.38	NA	0.25	0	NA	0.14	0	0	NA	0.13
