cluster 	color	NQ1	NQ2	NQ3	NQ4	NQ5	NQ6	NW1	NW2	NW3	NW4	NW5	NW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012257	 grey	18.7	33.33	0	27.91	NA	8.33	21.43	18.71	16.67	50.16	0.8	25.48	14.73	23.81	0	0.33	NA	11.2	0.18	17.83
FEX_0012259	 greenyellow	0	50	99.2	8.64	0	3.32	0.78	5.09	0	0.47	5.97	NA	3.85	46.3	NA	NA	NA	12.71	NA	10.17
FEX_0012260	 darkred	0.2	51.68	33.56	8.64	0	2.72	13.63	2.83	0	0.47	4.54	0.16	51.58	48.77	NA	50.47	NA	11.46	99.56	24.62
FEX_0012264	 darkolivegreen	0.24	0	0	0.24	0.34	2.17	0	0	0.42	0.98	0.17	0.23	0	0.14	0	0.13	0.08	0	0.46	0.07
FEX_0012265	 darkolivegreen	0.12	0.22	0.05	0.2	NA	0.69	0.25	0.25	0.08	0.44	0.58	0.23	0.13	0	0	0	0.09	0.39	0.2	0
FEX_0012266	 red	0.12	0.09	0.17	3.03	NA	0	0	0.74	0.28	NA	NA	1.32	0.1	0.25	NA	NA	0.2	0.82	0.12	0.08
FEX_0012267	 green	0	0	NA	0.22	NA	1.41	13.26	0	0.73	11.25	0.62	0	0.2	0	0	0.13	NA	0	0	0
FEX_0012268	 darkmagenta	0.21	0.07	0.82	0.07	0.34	1.41	0.2	0.28	0.71	12.79	0.27	12.04	0.69	0	0	0.13	0.08	0.08	0.1	0.09
FEX_0012269	 green	0.21	0.07	0.82	0.07	0.34	25.71	36.47	17.87	0.71	10.04	0.27	12.04	25.36	0	0	0.13	0.08	0.08	0.1	0.09
FEX_0012271	 grey	99.86	33.33	0	NA	100	98.56	31.97	42.72	66.42	0.2	97.92	62.39	67.25	NA	33.33	0	0	75.11	100	86.7
FEX_0012274	 darkred	0.26	0	NA	NA	NA	3.18	0	0.71	0.25	0	0	14.64	0	0	NA	0.37	0	0	100	NA
FEX_0012276	 darkred	0.13	0	0.18	0.39	1.3	1.3	0	0.16	0.17	0.05	0	8.04	0	0	0	0.08	0.1	0.21	14.36	0.75
FEX_0012277	 darkolivegreen	0.24	0.33	0	NA	0	3.03	0.2	0.25	0	NA	NA	NA	0.31	0.17	0	0	0.02	0.36	0.28	0
FEX_0012281	 darkolivegreen	0	0	0	NA	NA	2.79	0	0	0	NA	NA	NA	0	0	0	0.1	0	NA	NA	NA
FEX_0012282	 darkolivegreen	0	0	0	NA	NA	2.79	0	0	0	NA	NA	NA	0	0	0	0.1	0	NA	NA	NA
FEX_0012284	 blue	NA	NA	NA	NA	NA	1.15	0	0	0	NA	0	NA	0	0.37	0	NA	NA	0	0	0
FEX_0012286	 brown	0	0.1	0	0.57	NA	NA	0	0	NA	0.65	0.69	0	2.63	0	NA	0	0	NA	NA	0.38
FEX_0012287	 brown	0	0.1	0	0.57	NA	NA	0	0	NA	0.65	0.69	0	2.63	0	NA	0	0	NA	NA	0.38
FEX_0012290	 green	3.45	0	0.44	3.33	0.06	1.83	18.18	0.25	0.16	0	33.34	0.04	1.07	0	0	0	0	0.27	0	6.81
FEX_0012291	 green	NA	NA	0.29	0	NA	NA	0.5	0	NA	NA	0	0	0	0	NA	0	NA	0.2	0	0.16
FEX_0012292	 black	0	0.13	NA	NA	0.1	5.33	1.12	0	1.47	0	0	2.22	NA	NA	NA	0.11	NA	0	0.08	0
FEX_0012299	 magenta	0	NA	0	NA	NA	NA	0	0	NA	NA	0.37	0	0	0	0.06	0	0	NA	NA	NA
FEX_0012301	 blue	0.09	0.05	0	0.06	0	0.42	0.25	0.07	NA	0.22	0	2.78	0	5.27	NA	NA	0	0.98	0.04	1.66
FEX_0012303	 darkmagenta	0	0.6	NA	NA	NA	NA	0	0.28	NA	1.77	NA	0.1	0	NA	0	0	0	0	0	0
FEX_0012314	 salmon	0.46	0.1	0	NA	NA	NA	0.22	0.31	NA	NA	NA	0	0	0	NA	NA	NA	0.12	0	0
FEX_0012315	 green	0.12	0.27	0.06	0	NA	NA	19.32	0.29	0	0.36	NA	0	0.29	0	NA	NA	NA	0.03	0	2.02
FEX_0012316	 mediumpurple3	0	NA	0	NA	0	NA	0	0	0.94	0	0.21	0	0	0	NA	NA	NA	0	0.11	1.25
FEX_0012317	 blue	0.21	0.34	0	0.38	0.13	1.09	0.23	0.11	0.19	0.57	0.42	0.34	0.21	3.48	0.08	0.06	0.02	0.35	0.48	0.19
FEX_0012318	 greenyellow	0.18	0.81	0	0.45	0.14	0	0.27	0.13	0.17	0.57	0.46	0.16	0.21	0.04	NA	0	0	0.37	0.65	0.18
FEX_0012319	 darkolivegreen	0.06	0.26	0.21	1.99	0.49	2.91	0.01	0.26	1.3	0.37	0.21	0.3	0.7	1.69	0.02	0.01	0.07	0.27	0.25	0.35
FEX_0012320	 tan	0	0	0.41	NA	0.07	NA	0	0	2.08	0	0.45	0.37	0	0	NA	NA	0	0.28	0	0.08
FEX_0012321	 darkolivegreen	0.51	0	0	0.16	NA	1.68	0	0.86	0	0.11	0.29	0.26	1.32	0.16	0	NA	0	0.1	NA	1.27
FEX_0012323	 darkmagenta	0.07	0.18	0.29	0	NA	NA	0	0.24	NA	2.15	0.09	0.09	0.06	0	0.05	0	0.04	0.35	0	0.36
FEX_0012324	 red	0	0.35	0.14	4.96	0.08	4.06	0	0.48	0.32	0.52	0.2	NA	0.21	0	0	0	0.07	0.04	0.53	0.1
FEX_0012331	 brown	0	0.14	0.38	0	NA	NA	0	0.11	0.06	NA	1	0	33.33	0	NA	NA	0.02	0.16	NA	0.09
FEX_0012332	 darkolivegreen	0.06	NA	0	0.3	0.12	2.15	0.17	0.17	0	0.32	0.15	0.56	0.18	0.12	0	0.06	0	0.44	0.2	0.45
FEX_0012333	 greenyellow	0.06	2.3	2.84	0.17	0.13	1.98	0.13	0.21	0.58	0.2	0.25	0.31	0.13	0.12	0.06	0.03	0.41	0.25	0.16	0.79
FEX_0012334	 tan	0.31	NA	NA	0	NA	NA	0.47	0.17	0.77	0	0	0.25	0.07	NA	NA	NA	NA	0.37	0	0
FEX_0012335	 darkolivegreen	0	0	NA	0.22	NA	3.46	0	0	0	NA	0.31	0	0.1	0	0.1	0.16	0	NA	0	0.44
FEX_0012337	 mediumpurple3	0.33	NA	1.82	0.42	0	3.34	17.36	33.33	NA	41.52	0.6	0	0	0.5	NA	NA	0	0.3	NA	29
FEX_0012338	 darkolivegreen	0.14	0.05	0	0.29	0	1.15	0.41	0	0	0	0	0.31	0.07	0	NA	0	0	0.08	0.41	0.22
FEX_0012339	 darkolivegreen	0.06	0.06	0	0.19	0	1.27	0.36	0.22	0.02	0.09	0.18	0.32	0.21	0.14	0	0	0	0.09	0.27	0.2
